morpheme;type;mode;sameSubject;posneg;tense;dialect;specificity;perSubject;numbSubject;perObject;numbObject;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;SpecificCondOnPrecMorph;sources
tinnata;tv;part;non;neg;;North Baffin, Cumberland Peninsula;nsp;1;p;;;tinnata;n;n;;tinnata tinnata;s n;s n;;tinnata;n;n;;tinnata;n;n;;;M1 H2
tinnasi;tv;part;non;neg;;North Baffin, Cumberland Peninsula;nsp;2;p;;;tinnasi;n;n;;tinnasi tinnasi;s n;s n;;tinnasi;n;n;;tinnasi;n;n;;;M1 H2
tinnagit;tv;part;non;neg;;North Baffin, Cumberland Peninsula;nsp;3;p;;;tinnagit;n;n;;tinnagit tinnagit;s n;s n;;tinnagit;n;n;;tinnagit;n;n;;;M1 H2
lunga;tv;part;oui;pos;prespas;Cumberland Peninsula;nsp;1;s;;;lunga;i(l);i(l);;tunga;n;n;;tunga;n;n;;tunga;n;n;;;H2
lutit;tv;part;oui;pos;prespas;Cumberland Peninsula;nsp;2;s;;;lutit;i(l);i(l);;tutit;n;n;;tutit;n;n;;tutit;n;n;;;H2
luni;tv;part;oui;pos;prespas;Cumberland Peninsula;nsp;3;s;;;luni;i(l);i(l);;tuni;n;n;;tuni;n;n;;tuni;n;n;;;H2
lunuk;tv;part;oui;pos;prespas;Cumberland Peninsula;nsp;1;d;;;lunuk;i(l);i(l);;tunuk;n;n;;tunuk;n;n;;tunuk;n;n;;;H2
lusik;tv;part;oui;pos;prespas;Cumberland Peninsula;nsp;2;d;;;lusik;i(l);i(l);;tusik;n;n;;tusik;n;n;;tusik;n;n;;;H2
lutik;tv;part;oui;pos;prespas;Cumberland Peninsula;nsp;3;d;;;lutik;i(l);i(l);;tutik;n;n;;tutik;n;n;;tutik;n;n;;;H2
luta;tv;part;oui;pos;prespas;Cumberland Peninsula;nsp;1;p;;;luta;i(l);i(l);;tuta;n;n;;tuta;n;n;;tuta;n;n;;;H2
