morpheme;type;mode;specificity;perSubject;numbSubject;perObject;numbObject;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;SpecificCondOnPrecMorph;sources
vittigut;tv;int;sp;3;d;1;p;vittigut vaatigut;n n;n;;pittigut paatigut;n n;n;;pittigut paatigut;n n;n;;pittigut paatigut qittigut qaatigut;n n son son;n n son son;;;?
vassi;tv;int;sp;1;d;2;p;vassi;n;n;;passi;n;n;;passi;n;n;;passi qassi;n son;n son;;;?
vaasi;tv;int;sp;3;d;2;p;vaasi;n;n;;paasi;n;n;;paasi;n;n;;paasi qaasi;n son;n son;;;?
vittigit;tv;int;sp;1;d;3;p;vittigit;n;n;;pittigit;n;n;;pittigit;n;n;;pittigit qittigit;n son;n son;;;?
vittikkit;tv;int;sp;2;d;3;p;vittikkit;n;n;;pittikkit;n;n;;pittikkit;n;n;;pittikkit qittikkit;n son;n son;;;?
vittigit;tv;int;sp;3;d;3;p;vittigit vakkit;n n;n;;pittigit pakkit;n  n;n;;pittigit pakkit;n n;n;;pittigit pakkit qittigit qakkit;n n son son;n n son son;;;?
visinga;tv;int;sp;2;p;1;s;visinga;n;n;;pisinga;n;n;;pisinga;n;n;;pisinga qisinga;n son;n son;;;?
vaanga;tv;int;sp;3;p;1;s;vaanga;n;n;;paanga;n;n;;paanga;n;n;;paanga qaanga;n son;n son;;;?
vitigit;tv;int;sp;1;p;2;s;vitigit;n;n;;pitigit;n;n;;pitigit;n;n;;pitigit qitigit;n son;n son;;;?
vaatit;tv;int;sp;3;p;2;s;vaatit;n;n;;paatit;n;n;;paatit;n;n;;paatit qaatit;n son;n son;;;?
vitigu;tv;int;sp;1;p;3;s;vitigu;n;n;;pitigu;n;n;;pitigu;n;n;;pitigu qitigu;n son;n son;;;?
visiuk;tv;int;sp;2;p;3;s;visiuk;n;n;;pisiuk;n;n;;pisiuk;n;n;;pisiuk qisiuk;n son;n son;;;?
vajjuk;tv;int;sp;3;p;3;s;vajjuk;n;n;;pajjuk;n;n;;pajjuk;n;n;;pajjuk qajjuk;n son;n son;;;?
vittiguk;tv;int;sp;2;p;1;d;vittiguk;n;n;;pittiguk;n;n;;pittiguk;n;n;;pittiguk qittiguk;n son;n son;;;?
vittiguk;tv;int;sp;3;p;1;d;vittiguk vaatiguk;n n;n;;pittiguk paatiguk;n n;n;;pittiguk paatiguk;n n;n;;pittiguk paatiguk qittiguk qaatiguk;n n son son;n n son son;;;?
vassik;tv;int;sp;1;p;2;d;vassik;n;n;;passik;n;n;;passik;n;n;;passik qassik;n son;n son;;;?
vaatik;tv;int;sp;3;p;2;d;vaatik;n;n;;paatik;n;n;;paatik;n;n;;paatik qaatik;n son;n son;;;?
vitigik;tv;int;sp;1;p;3;d;vitigik;n;n;;pitigik;n;n;;pitigik;n;n;;pitigik qitigik;n son;n son;;;?
visigik;tv;int;sp;2;p;3;d;visigik;n;n;;pisigik;n;n;;pisigik;n;n;;pisigik qisigik;n son;n son;;;?
vagik;tv;int;sp;3;p;3;d;vagik;n;n;;pagik;n;n;;pagik;n;n;;pagik qagik;n son;n son;;;?
vitigut;tv;int;sp;2;p;1;p;vitigut;n;n;;pitigut;n;n;;pitigut;n;n;;pitigut qitigut;n son;n son;;;?
vaatigut;tv;int;sp;3;p;1;p;vaatigut;n;n;;paatigut;n;n;;paatigut;n;n;;paatigut qaatigut;n son;n son;;;?
vassi;tv;int;sp;1;p;2;p;vassi;n;n;;passi;n;n;;passi;n;n;;passi qassi;n son;n son;;;?
vaasi;tv;int;sp;3;p;2;p;vaasi;n;n;;paasi;n;n;;paasi;n;n;;paasi qaasi;n son;n son;;;?
vitigit;tv;int;sp;1;p;3;p;vitigit;n;n;;pitigit;n;n;;pitigit;n;n;;pitigit qitigit;n son;n son;;;?
visigit;tv;int;sp;2;p;3;p;visigit;n;n;;pisigit;n;n;;pisigit;n;n;;pisigit qisigit;n son;n son;;;?
vagit;tv;int;sp;3;p;3;p;vagit;n;n;;pagit;n;n;;pagit;n;n;;pagit qagit;n son;n son;;;?
nnga;tv;imp;sp;2;s;1;s;nnga;n;n;;nnga;s;s;;nnga;s;s;;nnga;s;s;;;?
linga;tv;imp;sp;3;s;1;s;linga;n;n;;linga;son;son;;linga;son;son;;linga;son;son;;;?
lagit;tv;imp;sp;1;s;2;s;lagit;n;n;;lagit;son;son;;lagit;son;son;;lagit;son;son;;;?
litit;tv;imp;sp;3;s;2;s;litit;n;n;;litit;son;son;;litit;son;son;;litit;son;son;;;?
lagu;tv;imp;sp;1;s;3;s;lagu;n;n;;lagu;son;son;;lagu;son;son;;lagu;son;son;;;?
guk;tv;imp;sp;2;s;3;s;guk;n;n;;juk;a;a;;guk;s;fus;;ruk;s;fus;;;?
liuk;tv;imp;sp;3;s;3;s;liuk;n;n;;liuk;son;son;;liuk;son;son;;liuk;son;son;;;?
tiguk;tv;imp;sp;2;s;1;d;tiguk;n;n;;tiguk;n;n;;tiguk;n;n;;tiguk;n;n;;;?
litiguk;tv;imp;sp;3;s;1;d;litiguk;n;n;;litiguk;son;son;;litiguk;son;son;;litiguk;son;son;;;?
lassik;tv;imp;sp;1;s;2;d;lassik;n;n;;lassik;son;son;;lassik;son;son;;lassik;son;son;;;?
litik;tv;imp;sp;3;s;2;d;litik;n;n;;litik;son;son;;litik;son;son;;litik;son;son;;;?
laakka;tv;imp;sp;1;s;3;d;laakka;n;n;;laakka;son;son;;laakka;son;son;;laakka;son;son;;;?
kkik;tv;imp;sp;2;s;3;d;kkik;n;n;;kkik;s;s;;kkik;s;s;;kkik;s;s;;;?
likkik;tv;imp;sp;3;s;3;d;likkik;n;n;;likkik;son;son;;likkik;son;son;;likkik;son;son;;;?
tigut;tv;imp;sp;2;s;1;p;tigut;n;n;;tigut;n;n;;tigut;n;n;;tigut;n;n;;;?
litigut;tv;imp;sp;3;s;1;p;litigut;n;n;;litigut;son;son;;litigut;son;son;;litigut;son;son;;;?
lassi;tv;imp;sp;1;s;2;p;lassi;n;n;;lassi;son;son;;lassi;son;son;;lassi;son;son;;;?
lisi;tv;imp;sp;3;s;2;p;lisi;n;n;;lisi;son;son;;lisi;son;son;;lisi;son;son;;;?
lakka;tv;imp;sp;1;s;3;p;lakka;n;n;;lakka;son;son;;lakka;son;son;;lakka;son;son;;;?
kkit;tv;imp;sp;2;s;3;p;kkit;n;n;;kkit;s;s;;kkit;s;s;;kkit;s;s;;;?
ligit;tv;imp;sp;3;s;3;p;ligit;n;n;;ligit;son;son;;ligit;son;son;;ligit;son;son;;;?
ttinga;tv;imp;sp;2;d;1;s;ttinga;n;n;;ttinga;s;s;;ttinga;s;s;;ttinga;s;s;;;?
linga;tv;imp;sp;3;d;1;s;linga;n;n;;linga;son;son;;linga;son;son;;linga;son;son;;;?
lattigit;tv;imp;sp;1;d;2;s;lattigit;n;n;;lattigit;son;son;;lattigit;son;son;;lattigit;son;son;;;?
litit;tv;imp;sp;3;d;2;s;litit;n;n;;litit;son;son;;litit;son;son;;litit;son;son;;;?
lavuk;tv;imp;sp;1;d;3;s;lavuk;n;n;;lavuk;son;son;;lavuk;son;son;;lavuk;son;son;;;?
tikku;tv;imp;sp;2;d;3;s;tikku;n;n;;tikku;n;n;;tikku;n;n;;tikku;n;n;;;?
likku;tv;imp;sp;3;d;3;s;likku;n;n;;likku;son;son;;likku;son;son;;likku;son;son;;;?
tiguk;tv;imp;sp;2;d;1;d;tiguk;n;n;;tiguk;n;n;;tiguk;n;n;;tiguk;n;n;;;?
litiguk;tv;imp;sp;3;d;1;d;litiguk;n;n;;litiguk;son;son;;litiguk;son;son;;litiguk;son;son;;;?
lassik;tv;imp;sp;1;d;2;d;lassik;n;n;;lassik;son;son;;lassik;son;son;;lassik;son;son;;;?
litik;tv;imp;sp;3;d;2;d;litik;n;n;;litik;son;son;;litik;son;son;;litik;son;son;;;?
laavuk;tv;imp;sp;1;d;3;d;laavuk;n;n;;laavuk;son;son;;laavuk;son;son;;laavuk;son;son;;;?
tikkik;tv;imp;sp;2;d;3;d;tikkik;n;n;;tikkik;n;n;;tikkik;n;n;;tikkik;n;n;;;?
likkik;tv;imp;sp;3;d;3;d;likkik;n;n;;likkik;son;son;;likkik;son;son;;likkik;son;son;;;?
tigut;tv;imp;sp;2;d;1;p;tigut;n;n;;tigut;n;n;;tigut;n;n;;tigut;n;n;;;?
litigut;tv;imp;sp;3;d;1;p;litigut;n;n;;litigut;son;son;;litigut;son;son;;litigut;son;son;;;?
lassi;tv;imp;sp;1;d;2;p;lassi;n;n;;lassi;son;son;;lassi;son;son;;lassi;son;son;;;?
lisi;tv;imp;sp;3;d;2;p;lisi;n;n;;lisi;son;son;;lisi;son;son;;lisi;son;son;;;?
lavuk;tv;imp;sp;1;d;3;p;lavuk;n;n;;lavuk;son;son;;lavuk;son;son;;lavuk;son;son;;;?
tikkit;tv;imp;sp;2;d;3;p;tikkit;n;n;;tikkit;n;n;;tikkit;n;n;;tikkit;n;n;;;?
likkit;tv;imp;sp;3;d;3;p;likkit;n;n;;likkit;son;son;;likkit;son;son;;likkit;son;son;;;?
singa;tv;imp;sp;2;p;1;s;singa;n;n;;singa;n;n;;singa;n;n;;singa;n;n;;;?
linga;tv;imp;sp;3;p;1;s;linga;n;n;;linga;son;son;;linga;son;son;;linga;son;son;;;?
lattigit;tv;imp;sp;1;p;2;s;lattigit;n;n;;lattigit;son;son;;lattigit;son;son;;lattigit;son;son;;;?
litit;tv;imp;sp;3;p;2;s;litit;n;n;;litit;son;son;;litit;son;son;;litit;son;son;;;?
lavut;tv;imp;sp;1;p;3;s;lavut;n;n;;lavut;son;son;;lavut;son;son;;lavut;son;son;;;?
siuk;tv;imp;sp;2;p;3;s;siuk;n;n;;siuk;n;n;;siuk;n;n;;siuk;n;n;;;?
lijjuk;tv;imp;sp;3;p;3;s;lijjuk;n;n;;lijjuk;son;son;;lijjuk;son;son;;lijjuk;son;son;;;?
tiguk;tv;imp;sp;2;p;1;d;tiguk;n;n;;tiguk;n;n;;tiguk;n;n;;tiguk;n;n;;;?
litiguk;tv;imp;sp;3;p;1;d;litiguk;n;n;;litiguk;son;son;;litiguk;son;son;;litiguk;son;son;;;?
lassik;tv;imp;sp;1;p;2;d;lassik;n;n;;lassik;son;son;;lassik;son;son;;lassik;son;son;;;?
litik;tv;imp;sp;3;p;2;d;litik;n;n;;litik;son;son;;litik;son;son;;litik;son;son;;;?
laavut;tv;imp;sp;1;p;3;d;laavut;n;n;;laavut;son;son;;laavut;son;son;;laavut;son;son;;;?
sikkik;tv;imp;sp;2;p;3;d;sikkik;n;n;;sikkik;n;n;;sikkik;n;n;;sikkik;n;n;;;?
likkik;tv;imp;sp;3;p;3;d;likkik;n;n;;likkik;son;son;;likkik;son;son;;likkik;son;son;;;?
tigut;tv;imp;sp;2;p;1;p;tigut;n;n;;tigut;n;n;;tigut;n;n;;tigut;n;n;;;?
litigut;tv;imp;sp;3;p;1;p;litigut;n;n;;litigut;son;son;;litigut;son;son;;litigut;son;son;;;?
lassi;tv;imp;sp;1;p;2;p;lassi;n;n;;lassi;son;son;;lassi;son;son;;lassi;son;son;;;?
lisi;tv;imp;sp;3;p;2;p;lisi;n;n;;lisi;son;son;;lisi;son;son;;lisi;son;son;;;?
lavut;tv;imp;sp;1;p;3;p;lavut;n;n;;lavut;son;son;;lavut;son;son;;lavut;son;son;;;?
sigit;tv;imp;sp;2;p;3;p;sigit;n;n;;sigit;n;n;;sigit;n;n;;sigit;n;n;;;?
ligit;tv;imp;sp;3;p;3;p;ligit;n;n;;ligit;son;son;;ligit;son;son;;ligit;son;son;;;?
gavinga;tv;caus;sp;2;s;1;s;gavinga gangma;n n;n;;navinga nangma;a a;a;;kavinga kangma;n n;n;;ravinga rangma;s s;fus;;;?
gaminga;tv;caus;sp;3;s;1;s;gaminga;n;n;;naminga;a;a;;kaminga;n;n;;raminga;s;fus;;;?
maanga;tv;caus;sp;4;s;1;s;maanga;i(ng);i(ng);;maanga;a;a;;maanga;nas;nas;;maanga;nas;nas;;;?
gapkit;tv;caus;sp;1;s;2;s;gapkit gikkit;n n;n;;napkit nikkit;a a;a;;kapkit kikkit;n n;n;;rapkit rikkit;s s;fus;;;?
gamitit;tv;caus;sp;3;s;2;s;gamitit;n;n;;namitit;a;a;;kamitit;n;n;;ramitit;s;fus;;;?
maatit;tv;caus;sp;4;s;2;s;maatit;i(ng);i(ng);;maatit;a;a;;maatit;nas;nas;;maatit;nas;nas;;;?
gapku;tv;caus;sp;1;s;3;s;gapku;n;n;;nakku;a;a;;kapku;n;n;;rapku;s;fus;;;?
gaviuk;tv;caus;sp;2;s;3;s;gaviuk gangni;n n;n;;naviuk nangni;a a;a;;kaviuk kangni;n n;n;;raviuk rangni;s s;fus;;;?
gamiuk;tv;caus;sp;3;s;3;s;gamiuk;n;n;;namiuk;a;a;;kamiuk;n;n;;ramiuk;s;fus;;;?
magu;tv;caus;sp;4;s;3;s;magu;i(ng);i(ng);;magu;a;a;;magu;nas;nas;;magu;nas;nas;;;?
gaptiguk;tv;caus;sp;2;s;1;d;gaptiguk;n;n;;naptiguk;a;a;;kaptiguk;n;n;;raptiguk;s;fus;;;?
gamitiguk;tv;caus;sp;3;s;1;d;gamitiguk;n;n;;namitiguk;a;a;;kamitiguk;n;n;;ramitiguk;s;fus;;;?
maatiguk;tv;caus;sp;4;s;1;d;maatiguk;i(ng);i(ng);;maatiguk;a;a;;maatiguk;nas;nas;;maatiguk;nas;nas;;;?
gassik;tv;caus;sp;1;s;2;d;gassik gattik;n n;n;;nassik nattik;a a;a;;kassik kattik;n n;n;;rassik rattik;s s;fus;;;?
gamitik;tv;caus;sp;3;s;2;d;gamitik;n;n;;namitik;a;a;;kamitik;n;n;;ramitik;s;fus;;;?
maatik;tv;caus;sp;4;s;2;d;maatik;i(ng);i(ng);;maatik;a;a;;maatik;nas;nas;;maatik;nas;nas;;;?
gakkik;tv;caus;sp;1;s;3;d;gakkik;n;n;;nakkik;a;a;;kakkik;n;n;;rakkik;s;fus;;;?
gavigik;tv;caus;sp;2;s;3;d;gavigik gangni;n n;n;;navigik nangni;a a;a;;kavigik kangni;n n;n;;ravigik rangni;s s;fus;;;?
gamigik;tv;caus;sp;3;s;3;d;gamigik;n;n;;namigik;a;a;;kamigik;n;n;;ramigik;s;fus;;;?
magik;tv;caus;sp;4;s;3;d;magik;i(ng);i(ng);;magik;a;a;;magik;nas;nas;;magik;nas;nas;;;?
gaptigut;tv;caus;sp;2;s;1;p;gaptigut;n;n;;naptigut;a;a;;kaptigut;n;n;;raptigut;s;fus;;;?
gamitigut;tv;caus;sp;3;s;1;p;gamitigut;n;n;;namitigut;a;a;;kamitigut;n;n;;ramitigut;s;fus;;;?
maatigut;tv;caus;sp;4;s;1;p;maatigut;i(ng);i(ng);;maatigut;a;a;;maatigut;nas;nas;;maatigut;nas;nas;;;?
gassi;tv;caus;sp;1;s;2;p;gassi gapsi gatsi;n n n;n;;nassi napsi natsi;a a a;a;;kassi kapsi katsi;n n n;n;;rassi rapsi ratsi;s s s;fus;;;?
gamisi;tv;caus;sp;3;s;2;p;gamisi;n;n;;namisi;a;a;;kamisi;n;n;;ramisi;s;fus;;;?
maasi;tv;caus;sp;4;s;2;p;maasi;i(ng);i(ng);;maasi;a;a;;maasi;nas;nas;;maasi;nas;nas;;;?
gapkit;tv;caus;sp;1;s;3;p;gapkit;n;n;;napkit;a;a;;kapkit;n;n;;rapkit;s;fus;;;?
gavigit;tv;caus;sp;2;s;3;p;gavigit gangni;n n;n;;navigit nangni;a a;a;;kavigit kangni;n n;n;;ravigit rangni;s s;fus;;;?
gamigit;tv;caus;sp;3;s;3;p;gamigit;n;n;;namigit;a;a;;kamigit;n;n;;ramigit;s;fus;;;?
magit;tv;caus;sp;4;s;3;p;magit;i(ng);i(ng);;magit;a;a;;magit;nas;nas;;magit;nas;nas;;;?
gattinga;tv;caus;sp;2;d;1;s;gattinga;n;n;;nattinga;a;a;;kattinga;n;n;;rattinga;s;fus;;;?
gaminga;tv;caus;sp;3;d;1;s;gaminga;n;n;;naminga;a;a;;kaminga;n;n;;raminga;s;fus;;;?
maanga;tv;caus;sp;4;d;1;s;maanga;i(ng);i(ng);;maanga;a;a;;maanga;nas;nas;;maanga;nas;nas;;;?
gaptigit;tv;caus;sp;1;d;2;s;gaptigit;n;n;;naptigit;a;a;;kaptigit;n;n;;raptigit;s;fus;;;?
gamitit;tv;caus;sp;3;d;2;s;gamitit;n;n;;namitit;a;a;;kamitit;n;n;;ramitit;s;fus;;;?
maatit;tv;caus;sp;4;d;2;s;maatit;i(ng);i(ng);;maatit;a;a;;maatit;nas;nas;;maatit;nas;nas;;;?
gaptigu;tv;caus;sp;1;d;3;s;gaptigu;n;n;;naptigu;a;a;;kaptigu;n;n;;raptigu;s;fus;;;?
gattiku;tv;caus;sp;2;d;3;s;gattiku;n;n;;nattiku;a;a;;kattiku;n;n;;rattiku;s;fus;;;?
gamikku;tv;caus;sp;3;d;3;s;gamikku;n;n;;namikku;a;a;;kamikku;n;n;;ramikku;s;fus;;;?
makku;tv;caus;sp;4;d;3;s;makku;i(ng);i(ng);;makku;a;a;;makku;nas;nas;;makku;nas;nas;;;?
gattiguk;tv;caus;sp;2;d;1;d;gattiguk;n;n;;nattiguk;a;a;;kattiguk;n;n;;rattiguk;s;fus;;;?
gamitiguk;tv;caus;sp;3;d;1;d;gamitiguk;n;n;;namitiguk;a;a;;kamitiguk;n;n;;ramitiguk;s;fus;;;?
maatiguk;tv;caus;sp;4;d;1;d;maatiguk;i(ng);i(ng);;maatiguk;a;a;;maatiguk;nas;nas;;maatiguk;nas;nas;;;?
gassik;tv;caus;sp;1;d;2;d;gassik gattik;n n;n;;nassik nattik;a a;a;;kassik kattik;n n;n;;rassik rattik;s s;fus;;;?
gamitik;tv;caus;sp;3;d;2;d;gamitik;n;n;;namitik;a;a;;kamitik;n;n;;ramitik;s;fus;;;?
maatik;tv;caus;sp;4;d;2;d;maatik;i(ng);i(ng);;maatik;a;a;;maatik;nas;nas;;maatik;nas;nas;;;?
gaptigik;tv;caus;sp;1;d;3;d;gaptigik;n;n;;naptigik;a;a;;kaptigik;n;n;;raptigik;s;fus;;;?
gattikik;tv;caus;sp;2;d;3;d;gattikik;n;n;;nattikik;a;a;;kattikik;n;n;;rattikik;s;fus;;;?
gamikkik;tv;caus;sp;3;d;3;d;gamikkik;n;n;;namikkik;a;a;;kamikkik;n;n;;ramikkik;s;fus;;;?
makkik;tv;caus;sp;4;d;3;d;makkik;i(ng);i(ng);;makkik;a;a;;makkik;nas;nas;;makkik;nas;nas;;;?
gattigut;tv;caus;sp;2;d;1;p;gattigut;n;n;;nattigut;a;a;;kattigut;n;n;;rattigut;s;fus;;;?
gamitigut;tv;caus;sp;3;d;1;p;gamitigut;n;n;;namitigut;a;a;;kamitigut;n;n;;ramitigut;s;fus;;;?
maatigut;tv;caus;sp;4;d;1;p;maatigut;i(ng);i(ng);;maatigut;a;a;;maatigut;nas;nas;;maatigut;nas;nas;;;?
gassi;tv;caus;sp;1;d;2;p;gassi gapsi gatsi;n n n;n;;nassi napsi natsi;a a a;a;;kassi kapsi katsi;n n n;n;;rassi rapsi ratsi;s s s;fus;;;?
gamisi;tv;caus;sp;3;d;2;p;gamisi;n;n;;namisi;a;a;;kamisi;n;n;;ramisi;s;fus;;;?
maasi;tv;caus;sp;4;d;2;p;maasi;i(ng);i(ng);;maasi;a;a;;maasi;nas;nas;;maasi;nas;nas;;;?
gaptigit;tv;caus;sp;1;d;3;p;gaptigit;n;n;;naptigit;a;a;;kaptigit;n;n;;raptigit;s;fus;;;?
gattikit;tv;caus;sp;2;d;3;p;gattikit;n;n;;nattikit;a;a;;kattikit;n;n;;rattikit;s;fus;;;?
gamikkit;tv;caus;sp;3;d;3;p;gamikkit;n;n;;namikkit;a;a;;kamikkit;n;n;;ramikkit;s;fus;;;?
makkit;tv;caus;sp;4;d;3;p;makkit;i(ng);i(ng);;makkit;a;a;;makkit;nas;nas;;makkit;nas;nas;;;?
gassinga;tv;caus;sp;2;p;1;s;gassinga gapsinga gatsinga;n n n;n;;nassinga napsinga natsinga;a a a;a;;kassinga kapsinga katsinga;n n n;n;;rassinga rapsinga ratsinga;s s s;fus;;;?
gaminga;tv;caus;sp;3;p;1;s;gaminga;n;n;;naminga;a;a;;kaminga;n;n;;raminga;s;fus;;;?
maanga;tv;caus;sp;4;p;1;s;maanga;i(ng);i(ng);;maanga;a;a;;maanga;nas;nas;;maanga;nas;nas;;;?
gaptigit;tv;caus;sp;1;p;2;s;gaptigit;n;n;;naptigit;a;a;;kaptigit;n;n;;raptigit;s;fus;;;?
gamitit;tv;caus;sp;3;p;2;s;gamitit;n;n;;namitit;a;a;;kamitit;n;n;;ramitit;s;fus;;;?
maatit;tv;caus;sp;4;p;2;s;maatit;i(ng);i(ng);;maatit;a;a;;maatit;nas;nas;;maatit;nas;nas;;;?
gaptigu;tv;caus;sp;1;p;3;s;gaptigu;n;n;;naptigu;a;a;;kaptigu;n;n;;raptigu;s;fus;;;?
gassiuk;tv;caus;sp;2;p;3;s;gassiuk gapsiuk gatsiuk;n n n;n;;nassiuk napsiuk natsiuk;a a a;a;;kassiuk kapsiuk katsiuk;n n n;n;;rassiuk rapsiuk ratsiuk;s s s;fus;;;?
gamijjuk;tv;caus;sp;3;p;3;s;gamijjuk gamiku;n n;n;;namijjuk namiku;a a;a;;kamijjuk kamiku;n n;n;;ramijjuk ramiku;s s;fus;;;?
majjuk;tv;caus;sp;4;p;3;s;majjuk magjuk;i(ng) i(ng);i(ng);;majjuk magjuk;a a;a;;majjuk magjuk;nas nas;nas;;majjuk magjuk;nas nas;nas;;;?
gaptiguk;tv;caus;sp;2;p;1;d;gaptiguk;n;n;;naptiguk;a;a;;kaptiguk;n;n;;raptiguk;s;fus;;;?
gamitiguk;tv;caus;sp;3;p;1;d;gamitiguk;n;n;;namitiguk;a;a;;kamitiguk;n;n;;ramitiguk;s;fus;;;?
maatiguk;tv;caus;sp;4;p;1;d;maatiguk;i(ng);i(ng);;maatiguk;a;a;;maatiguk;nas;nas;;maatiguk;nas;nas;;;?
gassik;tv;caus;sp;1;p;2;d;gassik gattik;n n;n;;nassik nattik;a a;a;;kassik kattik;n n;n;;rassik rattik;s s;fus;;;?
gamitik;tv;caus;sp;3;p;2;d;gamitik;n;n;;namitik;a;a;;kamitik;n;n;;ramitik;s;fus;;;?
maatik;tv;caus;sp;4;p;2;d;maatik;i(ng);i(ng);;maatik;a;a;;maatik;nas;nas;;maatik;nas;nas;;;?
gaptigik;tv;caus;sp;1;p;3;d;gaptigik;n;n;;naptigik;a;a;;kaptigik;n;n;;raptigik;s;fus;;;?
gassigik;tv;caus;sp;2;p;3;d;gassigik gapsigik gatsigik;n n n;n;;nassigik napsigik natsigik;a a a;a;;kassigik kapsigik katsigik;n n n;n;;rassigik rapsigik ratsigik;s s s;fus;;;?
gamigik;tv;caus;sp;3;p;3;d;gamigik;n;n;;namigik;a;a;;kamigik;n;n;;ramigik;s;fus;;;?
magik;tv;caus;sp;4;p;3;d;magik;i(ng);i(ng);;magik;a;a;;magik;nas;nas;;magik;nas;nas;;;?
gaptigut;tv;caus;sp;2;p;1;p;gaptigut;n;n;;naptigut;a;a;;kaptigut;n;n;;raptigut;s;fus;;;?
gamitigut;tv;caus;sp;3;p;1;p;gamitigut;n;n;;namitigut;a;a;;kamitigut;n;n;;ramitigut;s;fus;;;?
maatigut;tv;caus;sp;4;p;1;p;maatigut;i(ng);i(ng);;maatigut;a;a;;maatigut;nas;nas;;maatigut;nas;nas;;;?
gassi;tv;caus;sp;1;p;2;p;gassi gapsi gatsi;n n n;n;;nassi napsi natsi;a a a;a;;kassi kapsi katsi;n n n;n;;rassi rapsi ratsi;s s s;fus;;;?
gamisi;tv;caus;sp;3;p;2;p;gamisi;n;n;;namisi;a;a;;kamisi;n;n;;ramisi;s;fus;;;?
maasi;tv;caus;sp;4;p;2;p;maasi;i(ng);i(ng);;maasi;a;a;;maasi;nas;nas;;maasi;nas;nas;;;?
gaptigit;tv;caus;sp;1;p;3;p;gaptigit;n;n;;naptigit;a;a;;kaptigit;n;n;;raptigit;s;fus;;;?
gapsigit;tv;caus;sp;2;p;3;p;gapsigit;n;n;;napsigit;a;a;;kapsigit;n;n;;rapsigit;s;fus;;;?
gamigit;tv;caus;sp;3;p;3;p;gamigit;n;n;;namigit;a;a;;kamigit;n;n;;ramigit;s;fus;;;?
magit;tv;caus;sp;4;p;3;p;magit;i(ng);i(ng);;magit;a;a;;magit;nas;nas;;magit;nas;nas;;;?
guvinga;tv;cond;sp;2;s;1;s;guvinga gungma;n n;n;;kuvinga kungma;a a;a;;kuvinga kungma;n n;n;;ruvinga rungma;s s;fus;;;?
guninga;tv;cond;sp;3;s;1;s;guninga;n;n;;kuninga;a;a;;kuninga;n;n;;runinga;s;fus;;;?
paanga;tv;cond;sp;4;s;1;s;paanga;i(k);i(k);;paanga;a;a;;paanga;n;n;;paanga;n;n;;;?
gupkit;tv;cond;sp;1;s;2;s;gupkit;n;n;;kupkit;a;a;;kupkit;n;n;;rupkit;s;fus;;;?
gunitit;tv;cond;sp;3;s;2;s;gunitit;n;n;;kunitit;a;a;;kunitit;n;n;;runitit;s;fus;;;?
paatit;tv;cond;sp;4;s;2;s;paatit;i(k);i(k);;paatit;a;a;;paatit;n;n;;paatit;n;n;;;?
gupku;tv;cond;sp;1;s;3;s;gupku;n;n;;kupku;a;a;;kupku;n;n;;rupku;s;fus;;;?
guviuk;tv;cond;sp;2;s;3;s;guviuk gungni;n n;n;;kuviuk kungni;a a;a;;kuviuk kungni;n n;n;;ruviuk rungni;s s;fus;;;?
guniuk;tv;cond;sp;3;s;3;s;guniuk;n;n;;kuniuk;a;a;;kuniuk;n;n;;runiuk;s;fus;;;?
pagu;tv;cond;sp;4;s;3;s;pagu;i(k);i(k);;pagu;a;a;;pagu;n;n;;pagu;n;n;;;?
guptiguk;tv;cond;sp;2;s;1;d;guptiguk;n;n;;kuptiguk;a;a;;kuptiguk;n;n;;ruptiguk;s;fus;;;?
gunitiguk;tv;cond;sp;3;s;1;d;gunitiguk;n;n;;kunitiguk;a;a;;kunitiguk;n;n;;runitiguk;s;fus;;;?
paatiguk;tv;cond;sp;4;s;1;d;paatiguk;i(k);i(k);;paatiguk;a;a;;paatiguk;n;n;;paatiguk;n;n;;;?
gussik;tv;cond;sp;1;s;2;d;gussik guttik;n n;n;;kussik kuttik;a a;a;;kussik kuttik;n n;n;;russik ruttik;s s;fus;;;?
gunitik;tv;cond;sp;3;s;2;d;gunitik;n;n;;kunitik;a;a;;kunitik;n;n;;runitik;s;fus;;;?
paatik;tv;cond;sp;4;s;2;d;paatik;i(k);i(k);;paatik;a;a;;paatik;n;n;;paatik;n;n;;;?
gukkik;tv;cond;sp;1;s;3;d;gukkik;n;n;;kukkik;a;a;;kukkik;n;n;;rukkik;s;fus;;;?
guvigik;tv;cond;sp;2;s;3;d;guvigik gungni;n n;n;;kuvigik kungni;a a;a;;kuvigik kungni;n n;n;;ruvigik rungni;s s;fus;;;?
gunigik;tv;cond;sp;3;s;3;d;gunigik;n;n;;kunigik;a;a;;kunigik;n;n;;runigik;s;fus;;;?
pagik;tv;cond;sp;4;s;3;d;pagik;i(k);i(k);;pagik;a;a;;pagik;n;n;;pagik;n;n;;;?
guttigut;tv;cond;sp;2;s;1;p;guttigut;n;n;;kuttigut;a;a;;kuttigut;n;n;;ruttigut;s;fus;;;?
gunitigut;tv;cond;sp;3;s;1;p;gunitigut;n;n;;kunitigut;a;a;;kunitigut;n;n;;runitigut;s;fus;;;?
