morpheme;key;type;function;position;transitivity;nature;plural;antipassive;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;engMean;freMean;condPrec;condPrecTrans;condOnNext;sources;composition;dialect;mobility
lik;1;sn;nn;t;;;;;lik;n;n;;lik;s;s;;lik;s;s;;lik;s;s;;possession: 'one with' (at the end of the word, it may have a verbal meaning in the 3rd person);possession: 'quelqu'un avec' (en position finale, il peut prendre un sens verbal à la 3ème personne);;;;H1;;;m
lik;3;sn;nv;m;t;;;si/1vv;lik;n;n;;lik;s;s;;lik;s;s;;lik;s;s;;to give, to provide, to offer, to fetch s.t. (trans.: to s.o.);donner, fournir, offrir, aller chercher qqch. (trans.: à qqn);;;;;;;m
lik;2;sn;nv;m;i;;;;lik;n;n;;lik;s;s;;lik;s;s;;lik;s;s;;to go to;;;;;;;;
limaaq;1;sn;nn;t;;;;;limaaq;n;n;;limaaq;s;s;;limaaq;s;s;;limaaq;s;s;;inclusiveness: 'all of', 'the whole of';;;;;;;;
limaaq;2;sv;vv;m;n;;;;limaaq;n;n;;limaaq;s;s;;limaaq;s;s;;limaaq;s;s;;ceaselessly;sans cesse;;;;S1;;;m
liq;3;sn;nv;m;i;;;;liq;n;n;;liq;s;s;;liq;s;s;;liq;s;s;;to go to, toward;aller à, vers;;;;;;;m
liq;1;sv;vv;m;n;;;;liq;n;n;;liq;s;s;;liq;s;s;;liq;s;s;;on-going action;;;;;;;;
liq;2;sn;nv;m;t;;;i/1vv;liq;n;n;;siq;s;s;;liq;s;s;;liq;s;s;;to provide, supply;;;;;;;;
liqi;1;sn;nv;m;i;;;;liqi;n;n;;liqi;?;?;;liqi;s;s;;liqi;s;s;;to chase, hunt;poursuivre, chasser;;;;A1;;;m
lirai;1;sv;vv;m;n;;;;lirai;n;n;;lirai;s;s;;lirai;s;s;;lirai;s;s;;no meaning;aucune signification;;;;H1;liq/1vv+gai/1vv;;m
liri;1;sn;nv;m;i;;;;liri;n;n;;liri siri;i(i) s;i(i) s;;liri;s;s;;liri;s;s;;manipulation: 'to work with, on';manipulation: 'travailler avec, sur';;;;H1 A1;;;m
lisaaq;1;sv;vv;m;n;;;;lisaaq;n;n;;lisaaq;s;s;;lisaaq;s;s;;lisaaq;s;s;;just beginning, in the first stage of, for the fist time;;;;;;;;
lisaq;1;sn;nn;t;;;;;lisaq;n;n;;lisaq;s;s;;lisaq;s;s;;lisaq;s;s;;container or holder for body parts;contenant ou soutien pour des parties du corps;;;;H1;;;m
litainnaq;1;sv;vv;m;n;;;;litainnaq;n;n;;litainnaq;s;s;;litainnaq;s;s;;litainnaq;s;s;;at last;;;;;;;;
liuq;1;sn;nv;m;t;;;ri/1vv;liuq;n;n;;liuq tiuq siuq;s n n;s n n;;liuq;s;s;;liuq jjiuq;s s;s s;;construction in progress: 'to be building s.t.' (trans.: for s.o.);construction en cours: 'être en train de construire qqch.' (trans.: pour qqn);;;;H1;li/2vv+uq/3vv;;m
llaaluk;1;sv;vn;t;;;;;llaaluk;n;n;;llaaluk;s;s;;llaaluk;s;s;;llaaluk;s;s;;exaggeration, largeness, impressiveness of the action;exagération de l'action;;;;H1;;;m
llaq;1;sv;vv;m;n;;;;llaq;n;n;;llaq;s;s;;llaq;s;s;;llaq;s;s;;heavily;;;;;;;;
llarik;1;sv;vv;m;n;;;;llarik larik;n n;n;;llarik larik;s s;s;;llarik larik;s s;s;;llarik larik;s s;s;;certainty of the action: 'really', 'certainly';certitude de l'action: 'réellement', 'certainement';;;;H1;;;m
llarik;2;sn;nn;t;;;;;llarik larik;n n;n;;llarik larik;s s;s;;llarik larik;s s;s;;llarik larik;s s;s;;genuineness: 'real';véritable, vrai;;;;H1;;;m
lu;1;q;q;;;;;;lu;n;n;;lu;son;son;;lu;son;son;;lu;son;son;;and;et;;;;H1;;;m
luaq;2;sn;nn;t;;;;;luaq;n;n;;luaq;s;s;;luaq;s;s;;luaq;s;s;;exact;exact;;;;H1;;;m
