morpheme,type,mode,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
gissik,tv,imp,nsp,2,d,,,gittik,n,,tissik * tittik gittik,n s n s,,* gittik,fus,,rissik rittik,fus,,,?
lik,tv,imp,nsp,3,d,,,,n,,,son,,,son,,,son,,,?
ta,tv,imp,nsp,1,p,,,,n i(p) i(t),,,n,,,n a,,,n,,,?
gipsi,tv,imp,nsp,2,p,,,gitsi,n,,tipsi titsi gipsi gitsi,n n s s,,* gitsi,fus,,ripsi ritsi,fus,,,?
lit,tv,imp,nsp,3,p,,,,n,,,son,,,son,,,son,,,?
vungaa,tv,int,nsp,1,s,,,,n,,pungaa,a,,pungaa,n,,pungaa qungaa,n son,,,?
viit,tv,int,nsp,2,s,,,,n,,piit,a,,piit,n,,piit qiit,n son,,,?
vaa,tv,int,nsp,3,s,,,,n,,paa,a,,paa,n,,paa qaa,n son,,,?
vinuuk,tv,int,nsp,1,d,,,,n,,pinuuk,a,,pinuuk,n,,pinuuk qinuuk,n son,,,?
visiik,tv,int,nsp,2,d,,,vitiik,n,,pisiik pitiik,a,,pisiik pitiik,n,,pisiik qisiik pitiik qitiik,n son n son,,,?
vaak,tv,int,nsp,3,d,,,,n,,paak,a,,paak,n,,paak qaak,n son,,,?
vitaa,tv,int,nsp,1,p,,,,n,,pitaa,a,,pitaa,n,,pitaa qitaa,n son,,,?
visii,tv,int,nsp,2,p,,,,n,,pisii,a,,pisii,n,,pisii qisii,n son,,,?
vaat,tv,int,nsp,3,p,,,,n,,paat,a,,paat,n,,paat qaat,n son,,,?
varma,tv,dec,sp,2,s,1,s,,n,,parma,a,,parma,n,,parma qarma,n son,,,?
vaanga,tv,dec,sp,3,s,1,s,,n,,paanga,a,,paanga,n,,paanga qaanga,n son,,,?
vagit,tv,dec,sp,1,s,2,s,,n,,pagit,a,,pagit,n,,pagit qagit,n son,,,?
vaatit,tv,dec,sp,3,s,2,s,,n,,paatit,a,,paatit,n,,paatit qaatit,n son,,,?
vara,tv,dec,sp,1,s,3,s,,n,,para,a,,para,n,,para qara,n son,,,?
vait,tv,dec,sp,2,s,3,s,,n,,pait,a,,pait,n,,pait qait,n son,,,?
vanga,tv,dec,sp,3,s,3,s,vaa,n,,panga paa,a,,panga paa,n,,panga paa qanga qaa,n n son son,,,?
vattiguk,tv,dec,sp,2,s,1,d,vattikkuk,n,,pattiguk pattikkuk,a,,pattiguk pattikkuk,n,,pattiguk pattikkuk qattiguk qattikkuk,n n son son,,,?
vaatiguk,tv,dec,sp,3,s,1,d,vaatikkuk,n,,paatiguk paatikkuk,a,,paatiguk paatikkuk,n,,paatiguk paatikkuk qaatiguk qaatikkuk,n n son son,,,?
vassik,tv,dec,sp,1,s,2,d,,n,,passik,a,,passik,n,,passik qassik,n son,,,?
vaasik,tv,dec,sp,3,s,2,d,vaatik,n,,paasik paatik,a,,paasik paatik,n,,paasik paatik qaasik qaatik,n n son son,,,?
vaakka,tv,dec,sp,1,s,3,d,,n,,paakka,a,,paakka,n,,paakka qaakka,n son,,,?
vaakkik,tv,dec,sp,2,s,3,d,,n,,paakkik,a,,paakkik,n,,paakkik qaakkik,n son,,,?
vaangik,tv,dec,sp,3,s,3,d,,n,,paangik,a,,paangik,n,,paangik qaangik,n son,,,?
vattigut,tv,dec,sp,2,s,1,p,vaptigut,n,,pattigut paptigut,a,,pattigut paptigut,n,,pattigut paptigut qattigut qaptigut,n n son son,,,?
vaatigut,tv,dec,sp,3,s,1,p,,n,,paatigut,a,,paatigut,n,,paatigut qaatigut,n son,,,?
vassi,tv,dec,sp,1,s,2,p,vatsi,n,,passi patsi,a,,passi patsi,n,,passi qassi patsi qatsi,n son n son,,,?
vaasi,tv,dec,sp,3,s,2,p,,n,,paasi,a,,paasi,n,,paasi qaasi,n son,,,?
vakka,tv,dec,sp,1,s,3,p,,n,,pakka,a,,pakka,n,,pakka qakka,n son,,,?
vatit,tv,dec,sp,2,s,3,p,,n,,patit,a,,patit,n,,patit qatit,n son,,,?
vangit,tv,dec,sp,3,s,3,p,vait,n,,pangit pait,a,,pangit pait,n,,pangit pait qangit qait,n n son son,,,?
gama,tv,caus,nsp,1,s,,,,n,,nama,a,,kama,n,,rama,fus,,,?
gavit,tv,caus,nsp,2,s,,,,n,,navit,a,,kavit,n,,ravit,fus,,,?
gami,tv,caus,nsp,3,s,,,,n,,nami,a,,kami,n,,rami,fus,,,?
mat,tv,caus,nsp,4,s,,,,i(ng) i(m),,,a,,,nas,,,nas,,,?
gannuk,tv,caus,nsp,1,d,,,,n,,nannuk,a,,kannuk,n,,rannuk,fus,,,?
gassik,tv,caus,nsp,2,d,,,gapsik gatsik,n,,nassik napsik natsik,a,,kassik kapsik katsik,n,,rassik rapsik ratsik,fus,,,?
gamik,tv,caus,nsp,3,d,,,,n,,namik,a,,kamik,n,,ramik,fus,,,?
matik,tv,caus,nsp,4,d,,,,i(ng) i(m),,,a,,,nas,,,nas,,,?
gatta,tv,caus,nsp,1,p,,,gapta,n,,natta napta,a,,katta kapta,n,,ratta rapta,fus,,,?
gassi,tv,caus,nsp,2,p,,,gapsi gatsi,n,,nassi napsi natsi,a,,kassi kapsi katsi,n,,rassi rapsi ratsi,fus,,,?
gamik,tv,caus,nsp,3,p,,,,n,,namik,a,,kamik,n,,ramik,fus,,,?
mata,tv,caus,nsp,4,p,,,,i(ng) i(m),,,a,,,nas,,,nas,,,?
guma,tv,cond,nsp,1,s,,,,n,,kuma,a,,kuma,n,,ruma,fus,,,?
guvit,tv,cond,nsp,2,s,,,,n,,kuvit,a,,kuvit,n,,ruvit,fus,,,?
guni,tv,cond,nsp,3,s,,,,n,,kuni,a,,kuni,n,,runi,fus,,,?
pat,tv,cond,nsp,4,s,,,,i(k) i(p),,,a a(k),,,n,,,n,,,?
gunnuk,tv,cond,nsp,1,d,,,,n,,kunnuk,a,,kunnuk,n,,runnuk,fus,,,?
gussik,tv,cond,nsp,2,d,,,gupsik gutsik,n,,kussik kupsik kutsik,a,,kussik kupsik kutsik,n,,russik rupsik rutsik,fus,,,?
gunik,tv,cond,nsp,3,d,,,,n,,kunik,a,,kunik,n,,runik,fus,,,?
patik,tv,cond,nsp,4,d,,,,i(k) i(p),,,a a(k),,,n,,,n,,,?
gutta,tv,cond,nsp,1,p,,,gupta,n,,kutta kupta,a,,kutta kupta,n,,rutta rupta,fus,,,?
gussi,tv,cond,nsp,2,p,,,gupsi gutsi,n,,kussi kupsi kutsi,a,,kussi kupsi kutsi,n,,russi rupsi rutsi,fus,,,?
gunik,tv,cond,nsp,3,p,,,,n,,kunik,a,,kunik,n,,runik,fus,,,?
pata,tv,cond,nsp,4,p,,,,i(k) i(p),,,a a(k),,,n,,,n,,,?
vaattinga,tv,dec,sp,2,d,1,s,,n,,paattinga,a,,paattinga,n,,paattinga qaattinga,n son,,,?
vaanga,tv,dec,sp,3,d,1,s,,n,,paanga,a,,paanga,n,,paanga qaanga,n son,,,?
vattigik,tv,dec,sp,1,d,2,s,,n,,pattigik,a,,pattigik,n,,pattigik qattigik,n son,,,?
