morpheme,type,mode,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
lavuk,tv,imp,sp,1,d,3,s,,n,,,son,,,son,,,son,,,?
tikku,tv,imp,sp,2,d,3,s,,n,,,n,,,n,,,n,,,?
likku,tv,imp,sp,3,d,3,s,,n,,,son,,,son,,,son,,,?
tiguk,tv,imp,sp,2,d,1,d,,n,,,n,,,n,,,n,,,?
litiguk,tv,imp,sp,3,d,1,d,,n,,,son,,,son,,,son,,,?
lassik,tv,imp,sp,1,d,2,d,,n,,,son,,,son,,,son,,,?
litik,tv,imp,sp,3,d,2,d,,n,,,son,,,son,,,son,,,?
laavuk,tv,imp,sp,1,d,3,d,,n,,,son,,,son,,,son,,,?
tikkik,tv,imp,sp,2,d,3,d,,n,,,n,,,n,,,n,,,?
likkik,tv,imp,sp,3,d,3,d,,n,,,son,,,son,,,son,,,?
tigut,tv,imp,sp,2,d,1,p,,n,,,n,,,n,,,n,,,?
litigut,tv,imp,sp,3,d,1,p,,n,,,son,,,son,,,son,,,?
lassi,tv,imp,sp,1,d,2,p,,n,,,son,,,son,,,son,,,?
lisi,tv,imp,sp,3,d,2,p,,n,,,son,,,son,,,son,,,?
lavuk,tv,imp,sp,1,d,3,p,,n,,,son,,,son,,,son,,,?
tikkit,tv,imp,sp,2,d,3,p,,n,,,n,,,n,,,n,,,?
likkit,tv,imp,sp,3,d,3,p,,n,,,son,,,son,,,son,,,?
singa,tv,imp,sp,2,p,1,s,,n,,,n,,,n,,,n,,,?
linga,tv,imp,sp,3,p,1,s,,n,,,son,,,son,,,son,,,?
lattigit,tv,imp,sp,1,p,2,s,,n,,,son,,,son,,,son,,,?
litit,tv,imp,sp,3,p,2,s,,n,,,son,,,son,,,son,,,?
lavut,tv,imp,sp,1,p,3,s,,n,,,son,,,son,,,son,,,?
siuk,tv,imp,sp,2,p,3,s,,n,,,n,,,n,,,n,,,?
lijjuk,tv,imp,sp,3,p,3,s,,n,,,son,,,son,,,son,,,?
tiguk,tv,imp,sp,2,p,1,d,,n,,,n,,,n,,,n,,,?
litiguk,tv,imp,sp,3,p,1,d,,n,,,son,,,son,,,son,,,?
lassik,tv,imp,sp,1,p,2,d,,n,,,son,,,son,,,son,,,?
litik,tv,imp,sp,3,p,2,d,,n,,,son,,,son,,,son,,,?
laavut,tv,imp,sp,1,p,3,d,,n,,,son,,,son,,,son,,,?
sikkik,tv,imp,sp,2,p,3,d,,n,,,n,,,n,,,n,,,?
likkik,tv,imp,sp,3,p,3,d,,n,,,son,,,son,,,son,,,?
tigut,tv,imp,sp,2,p,1,p,,n,,,n,,,n,,,n,,,?
litigut,tv,imp,sp,3,p,1,p,,n,,,son,,,son,,,son,,,?
lassi,tv,imp,sp,1,p,2,p,,n,,,son,,,son,,,son,,,?
lisi,tv,imp,sp,3,p,2,p,,n,,,son,,,son,,,son,,,?
lavut,tv,imp,sp,1,p,3,p,,n,,,son,,,son,,,son,,,?
sigit,tv,imp,sp,2,p,3,p,,n,,,n,,,n,,,n,,,?
ligit,tv,imp,sp,3,p,3,p,,n,,,son,,,son,,,son,,,?
gavinga,tv,caus,sp,2,s,1,s,gangma,n,,navinga nangma,a,,kavinga kangma,n,,ravinga rangma,fus,,,?
gaminga,tv,caus,sp,3,s,1,s,,n,,naminga,a,,kaminga,n,,raminga,fus,,,?
maanga,tv,caus,sp,4,s,1,s,,i(ng),,,a,,,nas,,,nas,,,?
gakkit,tv,caus,sp,1,s,2,s,gapkit gikkit,n,,nakkit napkit nikkit,a,,kakkit kapkit kikkit,n,,rakkit rapkit rikkit,fus,,,?
gamitit,tv,caus,sp,3,s,2,s,,n,,namitit,a,,kamitit,n,,ramitit,fus,,,?
maatit,tv,caus,sp,4,s,2,s,,i(ng),,,a,,,nas,,,nas,,,?
gakku,tv,caus,sp,1,s,3,s,gapku,n,,nakku,a,,kakku kapku,n,,rakku rapku,fus,,,?
gaviuk,tv,caus,sp,2,s,3,s,gangni,n,,naviuk nangni,a,,kaviuk kangni,n,,raviuk rangni,fus,,,?
gamiuk,tv,caus,sp,3,s,3,s,,n,,namiuk,a,,kamiuk,n,,ramiuk,fus,,,?
magu,tv,caus,sp,4,s,3,s,,i(ng),,,a,,,nas,,,nas,,,?
gattiguk,tv,caus,sp,2,s,1,d,gaptiguk,n,,nattiguk naptiguk,a,,kattiguk kaptiguk,n,,rattiguk raptiguk,fus,,,?
gamitiguk,tv,caus,sp,3,s,1,d,,n,,namitiguk,a,,kamitiguk,n,,ramitiguk,fus,,,?
maatiguk,tv,caus,sp,4,s,1,d,,i(ng),,,a,,,nas,,,nas,,,?
gassik,tv,caus,sp,1,s,2,d,gattik,n,,nassik nattik,a,,kassik kattik,n,,rassik rattik,fus,,,?
gamitik,tv,caus,sp,3,s,2,d,,n,,namitik,a,,kamitik,n,,ramitik,fus,,,?
maatik,tv,caus,sp,4,s,2,d,,i(ng),,,a,,,nas,,,nas,,,?
gakkik,tv,caus,sp,1,s,3,d,,n,,nakkik,a,,kakkik,n,,rakkik,fus,,,?
gavigik,tv,caus,sp,2,s,3,d,gangni,n,,navigik nangni,a,,kavigik kangni,n,,ravigik rangni,fus,,,?
gamigik,tv,caus,sp,3,s,3,d,,n,,namigik,a,,kamigik,n,,ramigik,fus,,,?
magik,tv,caus,sp,4,s,3,d,,i(ng),,,a,,,nas,,,nas,,,?
gattigut,tv,caus,sp,2,s,1,p,gaptigut,n,,nattigut naptigut,a,,kattigut kaptigut,n,,rattigut raptigut,fus,,,?
gamitigut,tv,caus,sp,3,s,1,p,,n,,namitigut,a,,kamitigut,n,,ramitigut,fus,,,?
maatigut,tv,caus,sp,4,s,1,p,,i(ng),,,a,,,nas,,,nas,,,?
gassi,tv,caus,sp,1,s,2,p,gapsi gatsi,n,,nassi napsi natsi,a,,kassi kapsi katsi,n,,rassi rapsi ratsi,fus,,,?
gamisi,tv,caus,sp,3,s,2,p,,n,,namisi,a,,kamisi,n,,ramisi,fus,,,?
maasi,tv,caus,sp,4,s,2,p,,i(ng),,,a,,,nas,,,nas,,,?
gakkit,tv,caus,sp,1,s,3,p,gapkit,n,,nakkit napkit,a,,kakkit kapkit,n,,rakkit rapkit,fus,,,?
gavigit,tv,caus,sp,2,s,3,p,gangni,n,,navigit nangni,a,,kavigit kangni,n,,ravigit rangni,fus,,,?
gamigit,tv,caus,sp,3,s,3,p,,n,,namigit,a,,kamigit,n,,ramigit,fus,,,?
magit,tv,caus,sp,4,s,3,p,,i(ng),,,a,,,nas,,,nas,,,?
gattinga,tv,caus,sp,2,d,1,s,,n,,nattinga,a,,kattinga,n,,rattinga,fus,,,?
gaminga,tv,caus,sp,3,d,1,s,,n,,naminga,a,,kaminga,n,,raminga,fus,,,?
maanga,tv,caus,sp,4,d,1,s,,i(ng),,,a,,,nas,,,nas,,,?
gattigit,tv,caus,sp,1,d,2,s,gaptigit,n,,nattigit naptigit,a,,kattigit kaptigit,n,,rattigit raptigit,fus,,,?
gamitit,tv,caus,sp,3,d,2,s,,n,,namitit,a,,kamitit,n,,ramitit,fus,,,?
maatit,tv,caus,sp,4,d,2,s,,i(ng),,,a,,,nas,,,nas,,,?
gattigu,tv,caus,sp,1,d,3,s,gaptigu,n,,nattigu naptigu,a,,kattigu kaptigu,n,,rattigu raptigu,fus,,,?
gattiku,tv,caus,sp,2,d,3,s,,n,,nattiku,a,,kattiku,n,,rattiku,fus,,,?
gamikku,tv,caus,sp,3,d,3,s,,n,,namikku,a,,kamikku,n,,ramikku,fus,,,?
makku,tv,caus,sp,4,d,3,s,,i(ng),,,a,,,nas,,,nas,,,?
gattiguk,tv,caus,sp,2,d,1,d,,n,,nattiguk,a,,kattiguk,n,,rattiguk,fus,,,?
gamitiguk,tv,caus,sp,3,d,1,d,,n,,namitiguk,a,,kamitiguk,n,,ramitiguk,fus,,,?
maatiguk,tv,caus,sp,4,d,1,d,,i(ng),,,a,,,nas,,,nas,,,?
gassik,tv,caus,sp,1,d,2,d,gattik,n,,nassik nattik,a,,kassik kattik,n,,rassik rattik,fus,,,?
gamitik,tv,caus,sp,3,d,2,d,,n,,namitik,a,,kamitik,n,,ramitik,fus,,,?
maatik,tv,caus,sp,4,d,2,d,,i(ng),,,a,,,nas,,,nas,,,?
gattigik,tv,caus,sp,1,d,3,d,gaptigik,n,,nattigik naptigik,a,,kattigik kaptigik,n,,rattigik raptigik,fus,,,?
gattikik,tv,caus,sp,2,d,3,d,,n,,nattikik,a,,kattikik,n,,rattikik,fus,,,?
gamikkik,tv,caus,sp,3,d,3,d,,n,,namikkik,a,,kamikkik,n,,ramikkik,fus,,,?
makkik,tv,caus,sp,4,d,3,d,,i(ng),,,a,,,nas,,,nas,,,?
gattigut,tv,caus,sp,2,d,1,p,,n,,nattigut,a,,kattigut,n,,rattigut,fus,,,?
gamitigut,tv,caus,sp,3,d,1,p,,n,,namitigut,a,,kamitigut,n,,ramitigut,fus,,,?
maatigut,tv,caus,sp,4,d,1,p,,i(ng),,,a,,,nas,,,nas,,,?
gassi,tv,caus,sp,1,d,2,p,gapsi gatsi,n,,nassi napsi natsi,a,,kassi kapsi katsi,n,,rassi rapsi ratsi,fus,,,?
gamisi,tv,caus,sp,3,d,2,p,,n,,namisi,a,,kamisi,n,,ramisi,fus,,,?
maasi,tv,caus,sp,4,d,2,p,,i(ng),,,a,,,nas,,,nas,,,?
gattigit,tv,caus,sp,1,d,3,p,gaptigit,n,,nattigit naptigit,a,,kattigit kaptigit,n,,rattigit raptigit,fus,,,?
gattikit,tv,caus,sp,2,d,3,p,,n,,nattikit,a,,kattikit,n,,rattikit,fus,,,?
gamikkit,tv,caus,sp,3,d,3,p,,n,,namikkit,a,,kamikkit,n,,ramikkit,fus,,,?
makkit,tv,caus,sp,4,d,3,p,,i(ng),,,a,,,nas,,,nas,,,?
gassinga,tv,caus,sp,2,p,1,s,gapsinga gatsinga,n,,nassinga napsinga natsinga,a,,kassinga kapsinga katsinga,n,,rassinga rapsinga ratsinga,fus,,,?
gaminga,tv,caus,sp,3,p,1,s,,n,,naminga,a,,kaminga,n,,raminga,fus,,,?
maanga,tv,caus,sp,4,p,1,s,,i(ng),,,a,,,nas,,,nas,,,?
gattigit,tv,caus,sp,1,p,2,s,gaptigit,n,,nattigit naptigit,a,,kattigit kaptigit,n,,rattigit raptigit,fus,,,?
gamitit,tv,caus,sp,3,p,2,s,,n,,namitit,a,,kamitit,n,,ramitit,fus,,,?
maatit,tv,caus,sp,4,p,2,s,,i(ng),,,a,,,nas,,,nas,,,?
gattigu,tv,caus,sp,1,p,3,s,gaptigu,n,,nattigu naptigu,a,,kattigu kaptigu,n,,rattigu raptigu,fus,,,?
gassiuk,tv,caus,sp,2,p,3,s,gapsiuk gatsiuk,n,,nassiuk napsiuk natsiuk,a,,kassiuk kapsiuk katsiuk,n,,rassiuk rapsiuk ratsiuk,fus,,,?
gamijjuk,tv,caus,sp,3,p,3,s,gamiku,n,,namijjuk namiku,a,,kamijjuk kamiku,n,,ramijjuk ramiku,fus,,,?
majjuk,tv,caus,sp,4,p,3,s,magjuk,i(ng),,* magjuk,a,,* magjuk,nas,,* magjuk,nas,,,?
gattiguk,tv,caus,sp,2,p,1,d,gaptiguk,n,,nattiguk naptiguk,a,,kattiguk kaptiguk,n,,rattiguk raptiguk,fus,,,?
gamitiguk,tv,caus,sp,3,p,1,d,,n,,namitiguk,a,,kamitiguk,n,,ramitiguk,fus,,,?
maatiguk,tv,caus,sp,4,p,1,d,,i(ng),,,a,,,nas,,,nas,,,?
gassik,tv,caus,sp,1,p,2,d,gattik,n,,nassik nattik,a,,kassik kattik,n,,rassik rattik,fus,,,?
gamitik,tv,caus,sp,3,p,2,d,,n,,namitik,a,,kamitik,n,,ramitik,fus,,,?
maatik,tv,caus,sp,4,p,2,d,,i(ng),,,a,,,nas,,,nas,,,?
gattigik,tv,caus,sp,1,p,3,d,gaptigik,n,,nattigik naptigik,a,,kattigik kaptigik,n,,rattigik raptigik,fus,,,?
gassigik,tv,caus,sp,2,p,3,d,gapsigik gatsigik,n,,nassigik napsigik natsigik,a,,kassigik kapsigik katsigik,n,,rassigik rapsigik ratsigik,fus,,,?
gamigik,tv,caus,sp,3,p,3,d,,n,,namigik,a,,kamigik,n,,ramigik,fus,,,?
magik,tv,caus,sp,4,p,3,d,,i(ng),,,a,,,nas,,,nas,,,?
gattigut,tv,caus,sp,2,p,1,p,gaptigut,n,,nattigut naptigut,a,,kattigut kaptigut,n,,rattigut raptigut,fus,,,?
gamitigut,tv,caus,sp,3,p,1,p,,n,,namitigut,a,,kamitigut,n,,ramitigut,fus,,,?
maatigut,tv,caus,sp,4,p,1,p,,i(ng),,,a,,,nas,,,nas,,,?
gassi,tv,caus,sp,1,p,2,p,gapsi gatsi,n,,nassi napsi natsi,a,,kassi kapsi katsi,n,,rassi rapsi ratsi,fus,,,?
gamisi,tv,caus,sp,3,p,2,p,,n,,namisi,a,,kamisi,n,,ramisi,fus,,,?
maasi,tv,caus,sp,4,p,2,p,,i(ng),,,a,,,nas,,,nas,,,?
gattigit,tv,caus,sp,1,p,3,p,gaptigit,n,,nattigit naptigit,a,,kattigit kaptigit,n,,rattigit raptigit,fus,,,?
gassigit,tv,caus,sp,2,p,3,p,gapsigit,n,,nassigit napsigit,a,,kassigit kapsigit,n,,rassigit rapsigit,fus,,,?
gamigit,tv,caus,sp,3,p,3,p,,n,,namigit,a,,kamigit,n,,ramigit,fus,,,?
magit,tv,caus,sp,4,p,3,p,,i(ng),,,a,,,nas,,,nas,,,?
guvinga,tv,cond,sp,2,s,1,s,gungma,n,,kuvinga kungma,a,,kuvinga kungma,n,,ruvinga rungma,fus,,,?
guninga,tv,cond,sp,3,s,1,s,,n,,kuninga,a,,kuninga,n,,runinga,fus,,,?
paanga,tv,cond,sp,4,s,1,s,,i(k),,,a,,,n,,,n,,,?
gukkit,tv,cond,sp,1,s,2,s,gupkit,n,,kukkit kupkit,a,,kukkit kupkit,n,,rukkit rupkit,fus,,,?
gunitit,tv,cond,sp,3,s,2,s,,n,,kunitit,a,,kunitit,n,,runitit,fus,,,?
paatit,tv,cond,sp,4,s,2,s,,i(k),,,a,,,n,,,n,,,?
gukku,tv,cond,sp,1,s,3,s,gupku,n,,kukku kupku,a,,kukku kupku,n,,rukku rupku,fus,,,?
guviuk,tv,cond,sp,2,s,3,s,gungni,n,,kuviuk kungni,a,,kuviuk kungni,n,,ruviuk rungni,fus,,,?
guniuk,tv,cond,sp,3,s,3,s,,n,,kuniuk,a,,kuniuk,n,,runiuk,fus,,,?
pagu,tv,cond,sp,4,s,3,s,,i(k),,,a,,,n,,,n,,,?
guttiguk,tv,cond,sp,2,s,1,d,guptiguk,n,,kuttiguk kuptiguk,a,,kuttiguk kuptiguk,n,,ruttiguk ruptiguk,fus,,,?
gunitiguk,tv,cond,sp,3,s,1,d,,n,,kunitiguk,a,,kunitiguk,n,,runitiguk,fus,,,?
paatiguk,tv,cond,sp,4,s,1,d,,i(k),,,a,,,n,,,n,,,?
gussik,tv,cond,sp,1,s,2,d,guttik,n,,kussik kuttik,a,,kussik kuttik,n,,russik ruttik,fus,,,?
gunitik,tv,cond,sp,3,s,2,d,,n,,kunitik,a,,kunitik,n,,runitik,fus,,,?
paatik,tv,cond,sp,4,s,2,d,,i(k),,,a,,,n,,,n,,,?
gukkik,tv,cond,sp,1,s,3,d,,n,,kukkik,a,,kukkik,n,,rukkik,fus,,,?
guvigik,tv,cond,sp,2,s,3,d,gungni,n,,kuvigik kungni,a,,kuvigik kungni,n,,ruvigik rungni,fus,,,?
gunigik,tv,cond,sp,3,s,3,d,,n,,kunigik,a,,kunigik,n,,runigik,fus,,,?
pagik,tv,cond,sp,4,s,3,d,,i(k),,,a,,,n,,,n,,,?
guttigut,tv,cond,sp,2,s,1,p,,n,,kuttigut,a,,kuttigut,n,,ruttigut,fus,,,?
gunitigut,tv,cond,sp,3,s,1,p,,n,,kunitigut,a,,kunitigut,n,,runitigut,fus,,,?
paatigut,tv,cond,sp,4,s,1,p,,i(k),,,a,,,n,,,n,,,?
gussi,tv,cond,sp,1,s,2,p,gupsi gutsi,n,,kussi kupsi kutsi,a,,kussi kupsi kutsi,n,,russi rupsi rutsi,fus,,,?
gunisi,tv,cond,sp,3,s,2,p,,n,,kunisi,a,,kunisi,n,,runisi,fus,,,?
paasi,tv,cond,sp,4,s,2,p,,i(k),,,a,,,n,,,n,,,?
gukkit,tv,cond,sp,1,s,3,p,gupkit,n,,kukkit kupkit,a,,kukkit kupkit,n,,rukkit rupkit,fus,,,?
guvigit,tv,cond,sp,2,s,3,p,gungni,n,,kuvigit kungni,a,,kuvigit kungni,n,,ruvigit rungni,fus,,,?
gunigit,tv,cond,sp,3,s,3,p,,n,,kunigit,a,,kunigit,n,,runigit,fus,,,?
pagit,tv,cond,sp,4,s,3,p,,i(k),,,a,,,n,,,n,,,?
guttinga,tv,cond,sp,2,d,1,s,,n,,kuttinga,a,,kuttinga,n,,ruttinga,fus,,,?
guninga,tv,cond,sp,3,d,1,s,,n,,kuninga,a,,kuninga,n,,runinga,fus,,,?
paanga,tv,cond,sp,4,d,1,s,,i(k),,,a,,,n,,,n,,,?
guttigit,tv,cond,sp,1,d,2,s,guptigit,n,,kuttigit kuptigit,a,,kuttigit kuptigit,n,,ruttigit ruptigit,fus,,,?
gunitit,tv,cond,sp,3,d,2,s,,n,,kunitit,a,,kunitit,n,,runitit,fus,,,?
paatit,tv,cond,sp,4,d,2,s,,i(k),,,a,,,n,,,n,,,?
guttigu,tv,cond,sp,1,d,3,s,guptigu,n,,kuttigu kuptigu,a,,kuttigu kuptigu,n,,ruttigu ruptigu,fus,,,?
guttiku,tv,cond,sp,2,d,3,s,,n,,kuttiku,a,,kuttiku,n,,ruttiku,fus,,,?
gunikku,tv,cond,sp,3,d,3,s,,n,,kunikku,a,,kunikku,n,,runikku,fus,,,?
pakku,tv,cond,sp,4,d,3,s,,i(k),,,a,,,n,,,n,,,?
guttiguk,tv,cond,sp,2,d,1,d,,n,,kuttiguk,a,,kuttiguk,n,,ruttiguk,fus,,,?
gunitiguk,tv,cond,sp,3,d,1,d,,n,,kunitiguk,a,,kunitiguk,n,,runitiguk,fus,,,?
paatiguk,tv,cond,sp,4,d,1,d,,i(k),,,a,,,n,,,n,,,?
gussik,tv,cond,sp,1,d,2,d,guttik,n,,kussik kuttik,a,,kussik kuttik,n,,russik ruttik,fus,,,?
gunitik,tv,cond,sp,3,d,2,d,,n,,kunitik,a,,kunitik,n,,runitik,fus,,,?
paatik,tv,cond,sp,4,d,2,d,,i(k),,,a,,,n,,,n,,,?
guttigik,tv,cond,sp,1,d,3,d,guptigik,n,,kuttigik kuptigik,a,,kuttigik kuptigik,n,,ruttigik ruptigik,fus,,,?
guttikik,tv,cond,sp,2,d,3,d,,n,,kuttikik,a,,kuttikik,n,,ruttikik,fus,,,?
gunikkik,tv,cond,sp,3,d,3,d,,n,,kunikkik,a,,kunikkik,n,,runikkik,fus,,,?
pakkik,tv,cond,sp,4,d,3,d,,i(k),,,a,,,n,,,n,,,?
guttigut,tv,cond,sp,2,d,1,p,,n,,kuttigut,a,,kuttigut,n,,ruttigut,fus,,,?
gunitigut,tv,cond,sp,3,d,1,p,,n,,kunitigut,a,,kunitigut,n,,runitigut,fus,,,?
paatigut,tv,cond,sp,4,d,1,p,,i(k),,,a,,,n,,,n,,,?
gussi,tv,cond,sp,1,d,2,p,gupsi gutsi,n,,kussi kupsi kutsi,a,,kussi kupsi kutsi,n,,russi rupsi rutsi,fus,,,?
gunisi,tv,cond,sp,3,d,2,p,,n,,kunisi,a,,kunisi,n,,runisi,fus,,,?
paasi,tv,cond,sp,4,d,2,p,,i(k),,,a,,,n,,,n,,,?
guttigit,tv,cond,sp,1,d,3,p,guptigit,n,,kuttigit kuptigit,a,,kuttigit kuptigit,n,,ruttigit ruptigit,fus,,,?
guttikit,tv,cond,sp,2,d,3,p,,n,,kuttikit,a,,kuttikit,n,,ruttikit,fus,,,?
gunikkit,tv,cond,sp,3,d,3,p,,n,,kunikkit,a,,kunikkit,n,,runikkit,fus,,,?
pakkit,tv,cond,sp,4,d,3,p,,i(k),,,a,,,n,,,n,,,?
gussinga,tv,cond,sp,2,p,1,s,gupsinga,n,,kussinga kupsinga,a,,kussinga kupsinga,n,,russinga rupsinga,fus,,,?
guninga,tv,cond,sp,3,p,1,s,,n,,kuninga,a,,kuninga,n,,runinga,fus,,,?
paanga,tv,cond,sp,4,p,1,s,,i(k),,,a,,,n,,,n,,,?
guttigit,tv,cond,sp,1,p,2,s,guptigit,n,,kuttigit kuptigit,a,,kuttigit kuptigit,n,,ruttigit ruptigit,fus,,,?
gunitit,tv,cond,sp,3,p,2,s,,n,,kunitit,a,,kunitit,n,,runitit,fus,,,?
paatit,tv,cond,sp,4,p,2,s,,i(k),,,a,,,n,,,n,,,?
guttigu,tv,cond,sp,1,p,3,s,guptigu,n,,kuttigu kuptigu,a,,kuttigu kuptigu,n,,ruttigu ruptigu,fus,,,?
gussiuk,tv,cond,sp,2,p,3,s,gupsiuk,n,,kussiuk kupsiuk,a,,kussiuk kupsiuk,n,,russiuk rupsiuk,fus,,,?
gunijjuk,tv,cond,sp,3,p,3,s,guniku,n,,kunijjuk kuniku,a,,kunijjuk kuniku,n,,runijjuk runiku,fus,,,?
pajjuk,tv,cond,sp,4,p,3,s,,i(k),,,a,,,n,,,n,,,?
guttiguk,tv,cond,sp,2,p,1,d,guptiguk,n,,kuttiguk kuptiguk,a,,kuttiguk kuptiguk,n,,ruttiguk ruptiguk,fus,,,?
gunitiguk,tv,cond,sp,3,p,1,d,,n,,kunitiguk,a,,kunitiguk,n,,runitiguk,fus,,,?
paatiguk,tv,cond,sp,4,p,1,d,,i(k),,,a,,,n,,,n,,,?
gussik,tv,cond,sp,1,p,2,d,guttik,n,,kussik kuttik,a,,kussik kuttik,n,,russik ruttik,fus,,,?
gunitik,tv,cond,sp,3,p,2,d,,n,,kunitik,a,,kunitik,n,,runitik,fus,,,?
paatik,tv,cond,sp,4,p,2,d,,i(k),,,a,,,n,,,n,,,?
guttigik,tv,cond,sp,1,p,3,d,guptigik,n,,kuttigik kuptigik,a,,kuttigik kuptigik,n,,ruttigik ruptigik,fus,,,?
gussigik,tv,cond,sp,2,p,3,d,gupsigik,n,,kussigik kupsigik,a,,kussigik kupsigik,n,,russigik rupsigik,fus,,,?
gunigik,tv,cond,sp,3,p,3,d,,n,,kunigik,a,,kunigik,n,,runigik,fus,,,?
pagik,tv,cond,sp,4,p,3,d,,i(k),,,a,,,n,,,n,,,?
guttigut,tv,cond,sp,2,p,1,p,guptigut gupsigut,n,,kuttigut kuptigut kupsigut,a,,kuttigut kuptigut kupsigut,n,,ruttigut ruptigut rupsigut,fus,,,?
gunitigut,tv,cond,sp,3,p,1,p,,n,,kunitigut,a,,kunitigut,n,,runitigut,fus,,,?
paatigut,tv,cond,sp,4,p,1,p,,i(k),,,a,,,n,,,n,,,?
gussi,tv,cond,sp,1,p,2,p,gupsi gutsi,n,,kussi kupsi kutsi,a,,kussi kupsi kutsi,n,,russi rupsi rutsi,fus,,,?
gunisi,tv,cond,sp,3,p,2,p,,n,,kunisi,a,,kunisi,n,,runisi,fus,,,?
paasi,tv,cond,sp,4,p,2,p,,i(k),,,a,,,n,,,n,,,?
guttigit,tv,cond,sp,1,p,3,p,guptigit,n,,kuttigit kuptigit,a,,kuttigit kuptigit,n,,ruttigit ruptigit,fus,,,?
gussigit,tv,cond,sp,2,p,3,p,gupsigit,n,,kussigit kupsigit,a,,kussigit kupsigit,n,,russigit rupsigit,fus,,,?
gunigit,tv,cond,sp,3,p,3,p,,n,,kunigit,a,,kunigit,n,,runigit,fus,,,?
pagit,tv,cond,sp,4,p,3,p,,i(k),,,a,,,n,,,n,,,?
jarma,tv,ger,sp,2,s,1,s,,n,,tarma,n,,tarma,n,,tarma,n,,,?
jaanga,tv,ger,sp,3,s,1,s,,n,,taanga,n,,taanga,n,,taanga,n,,,?
jagit,tv,ger,sp,1,s,2,s,,n,,tagit,n,,tagit,n,,tagit,n,,,?
jaatit,tv,ger,sp,3,s,2,s,,n,,taatit,n,,taatit,n,,taatit,n,,,?
jara,tv,ger,sp,1,s,3,s,,n,,tara,n,,tara,n,,tara,n,,,?
jait,tv,ger,sp,2,s,3,s,,n,,tait,n,,tait,n,,tait,n,,,?
janga,tv,ger,sp,3,s,3,s,jaa,n,,tanga taa,n,,tanga taa,n,,tanga taa,n,,,?
jattiguk,tv,ger,sp,2,s,1,d,jattikkuk,n,,tattiguk tattikkuk,n,,tattiguk tattikkuk,n,,tattiguk tattikkuk,n,,,?
jaatiguk,tv,ger,sp,3,s,1,d,jaatikkuk,n,,taatiguk taatikkuk,n,,taatiguk taatikkuk,n,,taatiguk taatikkuk,n,,,?
jassik,tv,ger,sp,1,s,2,d,,n,,tassik,n,,tassik,n,,tassik,n,,,?
jaasik,tv,ger,sp,3,s,2,d,jaatik,n,,taasik taatik,n,,taasik taatik,n,,taasik taatik,n,,,?
jaakka,tv,ger,sp,1,s,3,d,,n,,taakka,n,,taakka,n,,taakka,n,,,?
jaakkik,tv,ger,sp,2,s,3,d,,n,,taakkik,n,,taakkik,n,,taakkik,n,,,?
jaangik,tv,ger,sp,3,s,3,d,,n,,taangik,n,,taangik,n,,taangik,n,,,?
jattigut,tv,ger,sp,2,s,1,p,japtigut,n,,tattigut taptigut,n,,tattigut taptigut,n,,tattigut taptigut,n,,,?
jaatigut,tv,ger,sp,3,s,1,p,,n,,taatigut,n,,taatigut,n,,taatigut,n,,,?
jassi,tv,ger,sp,1,s,2,p,,n,,tassi,n,,tassi,n,,tassi,n,,,?
jaasi,tv,ger,sp,3,s,2,p,,n,,taasi,n,,taasi,n,,taasi,n,,,?
jakka,tv,ger,sp,1,s,3,p,,n,,takka,n,,takka,n,,takka,n,,,?
jatit,tv,ger,sp,2,s,3,p,,n,,tatit,n,,tatit,n,,tatit,n,,,?
jangit,tv,ger,sp,3,s,3,p,jait,n,,tangit pait,n,,tangit tait,n,,tangit tait,n,,,?
jaattinga,tv,ger,sp,2,d,1,s,,n,,taattinga,n,,taattinga,n,,taattinga,n,,,?
jaanga,tv,ger,sp,3,d,1,s,,n,,taanga,n,,taanga,n,,taanga,n,,,?
jattigik,tv,ger,sp,1,d,2,s,,n,,tattigik,n,,tattigik,n,,tattigik,n,,,?
jaatit,tv,ger,sp,3,d,2,s,,n,,taatit,n,,taatit,n,,taatit,n,,,?
javuk,tv,ger,sp,1,d,3,s,,n,,tavuk,n,,tavuk,n,,tavuk,n,,,?
jasik,tv,ger,sp,2,d,3,s,jatik,n,,tasik tatik,n,,tasik tatik,n,,tasik tatik,n,,,?
jangak,tv,ger,sp,3,d,3,s,,n,,tangak,n,,tangak,n,,tangak,n,,,?
jaattiguk,tv,ger,sp,2,d,1,d,,n,,taattiguk,n,,taattiguk,n,,taattiguk,n,,,?
jaatiguk,tv,ger,sp,3,d,1,d,,n,,taatiguk,n,,taatiguk,n,,taatiguk,n,,,?
jassik,tv,ger,sp,1,d,2,d,,n,,tassik,n,,tassik,n,,tassik,n,,,?
jaatik,tv,ger,sp,3,d,2,d,,n,,taatik,n,,taatik,n,,taatik,n,,,?
jaavuk,tv,ger,sp,1,d,3,d,,n,,taavuk,n,,taavuk,n,,taavuk,n,,,?
jaassik,tv,ger,sp,2,d,3,d,jaattik,n,,taassik taattik,n,,taassik taattik,n,,taassik taattik,n,,,?
jaangik,tv,ger,sp,3,d,3,d,,n,,taangik,n,,taangik,n,,paangik,n,,,?
