morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,dialect,combination,root,rootNb,rootType,END
ukkuiq,,1,v,t,,,,,,,si/1vv,[T]to open the door of s.t.; to open the door on s.o.; to press in the bolt of the rifle[P]to be opened - said of a door[R]to open - said of a door,"[T]ouvrir la porte de qqch.; ouvrir la porte à qqn; enfoncer le verrou du fusil[P]être ouverte, en parlant d'une porte[R]s'ouvrir, en parlant d'une porte",,,ukkuaq,1,v,.
ukpigjuaq,,1,n,,zoo,,,,,,,snowy owl,harfang des neiges,,,ukpik,1,n,.
ukusiksaq,,1,n,,,,,,,,,soapstone,pierre à savon,,,ukusik,1,n,.
ulaluujaq,,1,n,,,,,,,,,whirlwind; tornado; twister,tourbillon; tornade,,,,,,.
ulaluujaq,,1,v,i,,,,,,,,"to be tornadoing, twisting; to produce tornados or whirlwinds - said of the weather","venter en rafales tournoyantes, en tornade, en tourbillons",,,,,,.
ulibjalaaq,,1,v,i,,,,,,,,to gargle,se gargariser,,,,,,.
ulirnaiq,,1,v,t,,,,,,,si/1vv,"[-R]to /understand, /comprehend s.t.",[-R]/comprendre qqch.,,,,,,.
uliusiniq,,1,n,,,,,,,,,caribou back sinew with tenderloin meat adhering,muscle arrière du caribou avec la viande de filet,,,uliut,1,n,.
uliutaujaq,,1,n,,,,,,,,,large tobacco leaves laid one on top of the other,larges feuilles de tabac posées les unes sur les autres,,,uliut,1,n,.
ullutuinnaq,,1,n,,,,,,,,,Friday [N. Baffin],vendredi (Baffin nord),,,ubluq,1,n,.
uluagullik,,1,n,,zoo,,,,,,,Canada goose,oie ,,,uluaq,1,n,.
uluaq,,1,v,i,,,,,,nil,,to saw something with a carpenter's saw,scier avec une égoïne,,,uluq,1,v,.
uluarnaq,,1,n,,,,,,,,,rounded smooth snow drift,banc de neige lisse et arrondi,,,uluaq,1,n,.
ulujjau,,1,v,i,a,,,,,,,to be flooded; covered by the rising tide,"être inondé, submergé, couvert par la marée montante",,,ulit,1,v,.
ulurrait,,1,n,,,p,,,,,,sawdust; shavings or filings from a sawing operation,bran de scie,,,uluq,1,v,.
ulursit,,1,n,,,,,,,,,cold chisel,ciseau à froid,,,uluq,1,v,.
uluut,,1,n,,,,,,,,,carpenter's saw,égoïne,,,uluq,1,v,.
umaaq,,1,v,t,,,,,,,i/1vv si/1vv,"[T]to rip or tear the boot at the seam; to undo the boot seam[P]to be ripped or torn, speaking of a boot seam; to be undone, speaking of the boot at the seam[R]to rip; to come undone, speaking of a boot seam","[T]déchirer la botte à la couture; défaire la couture de la botte[P]être déchiré, en parlant d'une botte à la couture; être défaite, parlant de la couture d'une botte[R]se déchirer, se défaire, en parlant d'une couture de botte",,,umaq,1,n,.
umaiq,,1,v,t,,,,,,,si/1vv,[-R]to /mend or /sew s.t.,"/raccommoder, /coudre qqch.",,,umaq,1,n,.
umak,,1,v,i,a,,,,,,,to be unshaven,avoir la barbe pas rasée,,,umik,1,n,.
umialiktaq,,1,n,,,,,,,,,boat or ship captain,capitaine de bateau,,,umiaq,1,n,.
umiaraq,,1,n,,,,,,,,,small boat,petit bateau,,,umiaq,1,n,.
umijjiuq,,1,v,i,,,,,,,,to build a boat,construire un bateau,,,umiaq,1,n,.
umingaatti,,1,v,i,,,,,,,,to speak nasally,parler du nez,,,,,,.
umingmak,,1,n,,zoo,,,,,,,musk-ox,boeuf musqué,,,umik,1,n,.
umiu,,1,v,i,,,,,,,,to drown from boat capsizing,se noyer suite à un naufrage,,,umiaq,1,n,.
umngijaq,,1,v,t,res,,,,,,si/1vv,to /shave s.o.,/raser qqn,,,umak,1,n,.
umngut,,1,n,,,,,,,,,plug; stopper; bung; sealant,bouchon; bonde; scellant,,,umik,1,v,.
umrngut,urngut,1,n,,,,,,,,,carrying strap or sling (WCHB),"courroie, bandoulière, écharpe utilisée pour transporter quelque chose (côte ouest Baie d'Hudson)",,,,,,.
ungasik,ungavasik,1,v,i,a,,,,,,,to be far or distant,"être loin, éloigné",,,ungata,1,n,.
ungavak,,1,v,t,res,,,,,,si/1vv i/1vv,to /move or /put or /place s.t. farther away,/bouger ou /mettre ou /placer qqch. plus loin,,,ungata,1,n,.
unnuaq,,1,n,,,,,,,,,late night; last night,tard en soirée; hier soir,,,unnuk,1,n,.
uqaajuuq,,1,n,,,,,,,,,gramophone; record player (ECHB),gramophone; tourne-disque (côte est Baie d'Hudson),,,uqaq,1,n,.
uqalimaagaq,,1,n,,,,,,,,,book; magazine,livre; magazine,,,uqaq,1,n,.
uqallak,,1,v,i,,,,,,,,to chat; to gossip,bavarder; faire des commérages,,,uqaq,1,n,.
uqaluk,,1,v,i,,,,,,,,to speak on the telephone or the radio,parler au téléphone ou à la radio,,,uqaq,1,n,.
uqaujaq,,1,n,,,,,,,,,leaf (of plant or tree),feuille (d'une plante ou d'un arbre),,,uqaq,1,n,.
uqausiq,,1,n,,,,,,,,,(1) word; speech; s.t. said (2) language; dialect (3) manner or habit of speech,(1) mot; discours; quelque chose qui est dit (2) langue; dialecte (3) manière de parler,,,uqaq,1,n,.
uqummiaq,,1,v,i,,,,,,,,to hold something in one's mouth,tenir quelque chose dans sa bouche,,,uqummiq,1,v,.
uqummiaq,,1,n,,,,,,,,,(1) chunk of fat or skin floating in the oil of the stone lamp (2) candy,(1) morceau de gras ou de peau flottant dans l'huile de la lampe à huile (2) bonbon,,,uqummiq,1,v,.
urpigaq,,1,n,,bot,,,,,,,arctic willow,saule arctique,,,urpik,1,n,.
ursirvik,,1,n,,,,,,,,,oil valve; oil cup; oil screw,valve hydraulique; vis hydraulique,,,ursiq,1,v,.
ursualuk,,1,n,,,,,,,,,kerosene; coal oil,kérosène; huile de charbon,,,ursuq,1,n,.
ursuaq,,1,v,i,a,,,,,,,"to be calm, still - said of the sea, the surface of the water","être calme, en parlant de la surface de l'eau",,,ursuq,1,n,.
ursulik,,1,n,,,,,,,,,"wick (of lamp, lighter, etc.)","mèche (d'une lampe, d'un briquet, etc.)",,,ursuq,1,n,.
ursuriaq,,1,n,,,,,,,,,"pus, festering matter",pus; substance purulente,,,ursuq,1,n,.
urviujaq,,1,n,,,,,,,,,spoon (Padl.),cuillère (Padl.),,,,,,.
usinga,usingaq,1,v,i,a,,,,,,,to be naked; bare,être nu,,,usiq,1,v,.
usualigjuaq,,1,n,,zoo,,,,,,,large male caribou,gros caribou mâle,,,usuk,1,n,.
usuaq,,1,n,,,,,,,,,"penis of caribou, walrus, horse","pénis d'un caribou, d'un cheval, d'un morse",,,usuk,1,n,.
usuujaaqtuq,,1,n,,,,,,,,,sausage,saucisse,,,usuk,1,n,.
usuujaq,,1,n,,,,,,,,,horizontal bar or piece which juts from prow of boat,barre ou pièce horizontale qui fait saillie à la proue d'un bateau,,,usuk,1,n,.
uumaq,,1,v,i,,,,,,,,to come to life again,revenir à la vie,,,uuma,1,n,.
