morpheme,variant,nb,type,nature,number,compositionRoot,freMean,engMean,combination,root,END
kuin,,1,n,place,,,Queen,Queen,,,.
kuugaarjuk,kugaaruk,1,n,place,,,Pelly Bay,Pelly Bay,,kuuk,.
kuugjuaq,,2,n,place,,,"Great Whale River, Québec","Great Whale River, Que.",,kuuk,.
kuujjuaraaluk,,1,n,place,,,Churchill,Churchill,,kuuk,.
kuupanHaagan,kuupanHigan,1,n,place,,,Copenhague,Copenhagen,,,.
laapatua,laapatuari,1,n,place,,,Labrador,Labrador,,,.
lantan,,1,n,place,,,"Londres, London",London,,,.
maanituuva,maanituupa,1,n,place,,,Manitoba,Manitoba,,,.
maaskau,,1,n,place,,,Moscou,Moscow,,,.
makvuraassa,,1,n,place,,,McFrancis,McFrancis,,,.
maluksitaq,,1,n,place,,,Lyon's Inlet (au nord-est de Repulse Bay),Lyon's Inlet (N.E. of Repulse Bay),,,.
mangtan,maangktan,1,n,place,,,Moncton,Moncton,,,.
manturial,manturia,1,n,place,,,Montréal,Montreal,,,.
mittimatalik,,1,n,place,,,Pond Inlet,Pond Inlet,,,.
muusanii,,1,n,place,,,Mosinee,Mosinee,,,.
nanisivik,,1,n,place,,,Nanisivik (près d'Arctic Bay dans la région de Baffin),Nanisivik (near Arctic Bay in the Baffin region),,,.
nanulik,,1,n,place,,,Nanulik,Nanulik,,,.
nattilik,,1,n,place,,,"Natsilik - district territorial électoral pour l'assemblée législative du Nunavut, Canada, qui consiste des communautés de Gjoa Haven et Taloyoak.","Natsilik -  territorial electoral district (riding) for the Legislative Assembly of Nunavut, Canada, which consists of the communities of Gjoa Haven and Taloyoak.",,,.
naujaat,,1,n,place,p,naujaaq,Repulse Bay,Repulse Bay,,nauja,.
niaqunguut,,1,n,place,,,embouchure de la rivière North Pole (sud-est de Repulse Bay),mouth of North Pole River (SW corner of Repulse Bay),,niaquq,.
niaqunnguut,,1,n,place,,,Apex,Apex,,,.
niupanlaan,niupaunlaan niuvanlaan,1,n,place,,,Terreneuve,Newfoundland,,,.
nuat,,1,n,place,,,Nord,North,,,.
nuavai,nuavii,1,n,place,,,Norvège,Norway,,,.
nunatsiaq,,1,n,place,,,Territoires du Nord-Ouest,Northwest Territories,,,.
nunavik,,1,n,place,,,Nord du Québec,Northern Quebec,,,.
nunavut,,1,n,place,,,Nunavut,Nunavut,,,.
nuuk,,1,n,place,,,Nuuk (au Groënlande),Nuuk (in Greenland),,,.
nuuva,nuva,1,n,place,,,Nova,Nova,,,.
nuvuk,,1,n,place,,,Nuvuk (dans les Territoires du Nord-Ouest),Nuvuk (in Northwest Territories),,,.
paalliq,,1,n,place,,,intérieur des terres à partir d'Eskimo Point,inland area from Eskimo Point,,,.
paals,,1,n,place,,,Chutes,Falls,,,.
palliarjuk,,1,n,place,,,Spence Bay,Spence Bay,,,.
pangnirtuuq,,1,n,place,,,communauté au centre de la Terre de Baffin,Central Baffin settlement,,pangniq,.
pari,,1,n,place,,,Paris,Paris,,,.
parnaivik,,1,n,place,,,Parnaivik,Parnaivik,,,.
piisii,viisii,1,n,place,,,Colombie britannique,BC (British Columbia),,,.
pimpuruk,,1,n,place,,,Pembroke,Pembroke,,,.
piritis,puitis puritis vulitis vuritis,1,n,place,,,Britannique,British,,,.
praantan,puraantan purantan vuraantan vurantam vurantan,1,n,place,,,Branden,Brandon,,,.
pulariis,pulariisi pulauris pulaurisi puliaris,1,n,place,,,Polaris,Polaris,,,.
puriaturiktan,,1,n,place,,,Fredericton,Fredericton,,,.
purins,vurins,1,n,place,,,Prince,Prince,,,.
puruitanni,,1,n,place,,,Brighton,Brighton,,,.
qamaniqjuaq,qamaniqtuaq qamanitjuaq qamanittuaq qamani'tuaq,1,n,place,,,Baker Lake,Baker Lake,,qamaniq,.
qarsaurtuuq,,1,n,place,,,East Bay (côte est de Southampton Is.),East Bay (E.C. of Southampton Is.),,qarsauq,.
qatiktalik,,1,n,place,,,Fullerton Harbour,Fullerton Harbour,,,.
qausuittuq,,1,n,place,,,Resolute Bay,Resolute Bay,,,.
qikiqtaaluk,,1,n,place,,,Terre de Baffin,Baffin Island,,,.
qikiqtarjuaq,,1,n,place,,,Broughton Is. (au nord de Pangnirtung),Broughton Is. (N. of Pangnirtung);,,qikirtaq,.
qikirtaaluk,,1,n,place,,,"While Island (Frozen Straits, au nord de Southampton Is.)",White Island (Frozen Straits n. of Southampton Is.),,qikirtaq,.
qikirtait,,1,n,place,p,qikirtaq,les îles Belcher (face à Great Whale River sur la côte québécoise),Belcher Islands (opp. G.W. River on Que. Coast),,qikirtaq,.
qikirtait,,2,n,place,p,qikirtaq,les îles Harbour (à l'embouchure de Repulse Bay),Harbour Islands (at mouth of Repulse Bay),,qikirtaq,.
qikirtarjuaq,,2,n,place,,,l'île Vansittart (au nord de l'île Southampton),Vansittart Is. (N. of Southampton Is.),,qikirtaq,.
qikirtaugaaluk,,1,n,place,,,"l'île Bencas (au nord de l'île Coats, au sud de Coral Harbour)",Bencas Is. (N. of Coats Is. south of Coral Harbour),,qikirtaq,.
qikirtaugaq,,1,n,place,,,l'île Bear (au sud de Coral Harbour),Bear Is. (south of Coral Harbour),,qikirtaq,.
qingaq,qingaut,1,n,place,,,Bathurst Inlet,Bathurst (Inlet),,qingaq,.
qitirmiut,,1,n,place,p,qitirmiuq,Kitikmeot,Kitikmeot,,qitiq,.
quttiktuq,,1,n,place,,,"district électoral du Nunavut incluant Arctic Bay, Grise Fjord, Nanisivik, Grise","Electoral district in Nunavut comprising Arctic Bay, Grise Fiord, Nanisivik, Resolute",,,.
rasa,ulaasaa ulaasa,1,n,place,,,Russie,Russia,,,.
rijaina,rijjaina,1,n,place,,,Regina,Regina,,,.
saalattaun,salittaun,1,n,place,,,Charlottetown,Charlottetown,,,.
saina,sainiisiit nainiisit,1,n,place,,,Chine,China,,,.
