morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,source,dialect,cf,END
ungilaq,,1,v,i,,,,,,,,to itch or irritate the skin,démanger ou irriter la peau,,,,.
ungiq,,1,v,t,,,,,,,si/1vv i/1vv,"[-R]to /tighten s.t. (the lace or tie of something) [R](1)to tighten his or her own boot, parka (2) to heal, speaking of a wound (3) to tighten or purse his or her lips to make a precious little mouth","[-R]/serrer, /resserrer qqch. (lacet ou lien)[R](1)resserrer ses bottes, son parka (2) guérir, en parlant d'une blessure (3) resserrer les lèvres pour faire une petite bouche précieuse, affectée",,,,.
ungirlaq,,1,v,i,,,,,,nil,,to bag s.t. or contain s.t. by wrapping it in a skin or cloth or garment,"mettre ou contenir qqch. dans un peau, un tissu ou un vêtement, comme dans un sac",,,,.
ungua,,1,v,i,,,,,,,,to propel oneself or move underwater,se mouvoir sous l'eau,,,,.
unguma,,1,v,i,,,,,,,,to stand guard over cut-up dog food,"surveiller, protéger qqch. contre le vol ou l'abus",,,,.
ungupquaq,,1,v,i,,,,,,nil,,to head or chase animal into an enclosure,pousser ou chasser un animal dans un enclos,,,,.
unguuq,,1,v,i,,,,,,nil,,to head or chase animal into an enclosure,pousser ou chasser un animal dans un enclos,,,,.
uni,,1,v,i,,,,,,nil,,"to go or dash for food, refuse, etc. - said of a dog or carnivore","se précipiter vers la nourriture, les déchets, etc (un chien ou autre animal carnivore)",,,,.
uniaq,,1,v,i,,,,,,nil,,to haul something along the ground with a rope,tirer (trans.: qqch.) sur le sol avec une corde,,,,.
unik,,1,v,i,,,,,,,,to stop due to inertia,arrêter par inertie,,,,.
unipkaaq,,1,v,i,,,,,,nil,,to tell a story (trans.: to someone),raconter une histoire (trans.: à qqn),,,,.
unipkaaq,,1,n,,,,,,,,,story,,,,,
uniq,,1,n,,ana,,,,,,,arm pit,aisselle,,,,.
