morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,intransSuffix,transSuffix,antipassive,engMean,freMean,combination,dialect,root,rootType,rootNb,END
arnaviaq,,,n,,zoo,,,,,,female bird,oiseau femelle,,,arnaq,,,.
arniri,,,v,i,,,,,,,to chase after girls,courir après les filles,,,arnaq,,,.
arpajuk,,,v,i,,,,,,,for a dog or a horse to trot,"trotter, en parlant d'un chien ou d'un cheval",,,arpak,,,.
arsarniq,,,n,,,,,,,,Northern Lights,aurore boréale,,,arsaq,,,.
artursaq,,,v,i,,,,,,,to stagger from carrying too heavy a load on one's back,"tituber, chanceler à porter quelque chose trop lourd sur son dos",,,artuq,,,.
assalik,,,n,,,,,,,,paternal cousin,cousin paternel,,echb,assak,n,1,.
asuilaak,,,a,,,,,,,,so; that being the case;,alors; ceci étant le cas,asu/1e+ilaak/1q,,asu,e,1,.
ataataksaq,,,n,,,,,,,,stepfather,beau-père,,,ataata,,,.
ataatattiaq,,,n,,,,,,,,grandfather,grand-père,,,ataata,,,.
ataattiaraaluk,,,n,,,,,,,,bishop of R.C. Church,évêque de l'Église romaine catholique,,,ataata,,,.
atajumik,,,a,,,,,,,,always,toujours,,,,,,.
atajut,,1,n,,,,,,,,things joined in one piece,choses jointes en une seule pièce,,,,,,.
atausiiq,,,v,i,,,,,,,"to be done once, one time",être fait une fois,,,atausiq,,,.
atausiraaq,,,v,i,,,,,,,to get one of something,acquérir un de quelque chose,,,atausiq,,,.
atausivitti,,,v,,,,,,,,to do the same thing all the time,toujours faire la même chose,,,atausiq,,,.
atauttikkut,,,a,,,,,,,,all at once; all at the same time,"tout, au même moment; tout, tout de suite",,,atausiq,,,.
atirusijaq,,1,v,i,a,,,,,,"to be seen in the distance, speaking of the blizzard","être vu de loin, en parlant du blizzard",,,,,,.
atitukkut,,1,n,,,,,,,,frontal portion of atigi hood,partie frontale du capuchon de l'atigi,,,ati,v,1,.
attataq,,,v,i,,,,,,,for an animal to catch or to hold on repeatedly,"en parlant d'un animal, attraper ou tenir, de façon répétée",,,,,,.
attataq,,1,v,i,a,,,,,,to be caught in a steel-jaw trap,être capturé dans un piège à mâchoires en métal,,,attatit,n,=,.
atuaq,,1,v,t,,,,,,si/1vv,[-R]to /follow s.t. carefully; to /use s.t. continually,[-R]/suivre qqch. attentivement; /utiliser qqch. continuellement,,,atuq,v,1,.
atuarutit,,1,n,,,p,,,,,cracks on sea-edge ice made by pressure of tide,fissures dans la glace du bord de mer causées par la pression de la marée,,,,,,.
atuinnaq,,1,n,,,,,,,,something available,quelque chose de disponible,,,,,,.
atungaujaq,,1,n,,,,,,,,leaf of cowberry plant used as a filler in tobacco,feuille d'airelle rouge utilisée comme remplissage dans le tabac,,wchb,atungak,,,.
atungaujaq,,2,n,,,,,,,,mushroom,champignon,,northbaffin,atungak,,,.
aujaliq,,,n,,zoo,,,,,,animal in its summer coat,animal avec son pelage d'été,,,aujaq,,,.
aujanitaq,,,n,,,,,,,,something of summer,quelque chose de l'été,,,aujaq,,,.
aujaqsiuq,,,v,i,,,,,,,to spend the summer at,passer l'été à,,,aujaq,,,.
aujii,,,v,i,,,,,,,to spend the summer at,passer l'été à,,,aujaq,,,.
aujiivik,,,n,,,,,,,,summer camp; summer sojourn,camp d'été; séjour d'été,,,aujaq,,,.
aujuittuq,,,n,,,,,,,,glacier,glacier,,wchb,auk,,,.
aukkarnit,,,n,,,,,,,,fast-moving waters which do not freeze in the winter,eaux rapides qui ne gèlent pas en hiver,,,auk,,,.
auksiriaqtuq,,,n,,,,,,,,sugar,sucre,,padl,auk,,,.
auktuqti,,,n,,,,,,,,carnivore,carnivore,,,auk,,,.
aulagusiq,,,v,i,,,,,,,to take up a home in a new land,prendre demeure dans un territoire nouveau,,,aula,v,2,.
aulaji,,,v,i,,,,,,,to recall something from the past,se rappeler quelque chose du passé,,,aula,v,1,.
aulajjak,,,v,i,,,,,,,to move slightly,bouger légèrement,,,aula,v,1,.
aulaju,,,v,i,,,,,,,to watch movies,regarder des films,,echb,aula,,,.
aulajuutik,,,n,,,,,,,,movie projector,projecteur de film,,,aula,,,.
aulakattaaq,,,v,i,,,,,,,for a child to swing on a swing,"en parlant d'un enfant, se balancer sur une balançoire",,,aula,,,.
aulakkut,,,n,,,,,,,,flag; pennant,drapeau; fanion,,,aula,,,.
aulaniq,,,n,,,,,,,,moving ice field,champ de glace mouvante,,,aula,,,.
aulaniqsiuq,,,v,i,,,,,,,to hunt game animals on the moving ice,chasser des animaux sur de la glace mouvante,,,aula,,,.
aulasaq,,,v,i,,,,,,,to fish by line or jigging,pêcher à la ligne ou à la turlutte,,,aula,,,.
aulasaut,,,n,,,,,,,,fish line or jigging line,ligne de pêche ou ligne à turlutter,,,aula,,,.
aullautit,,,n,,,,,,,,engine; motor,machine; moteur,,northbaffin,aullaq,,,.
aunaaq,,,v,i,,,,,,,to bleed,saigner,,,auk,,,.
aupajaq,,,v,i,a,,,,,,"to be pink, reddish","être rose, rougeâtre",,,aupaq,,,.
aupajuk,,,v,i,a,,,,,,"to be pink, reddish","être rose, rougeâtre",,,aupaq,,,.
aupalattijuq,,,n,,,,,,,,caribou whose horns have just lost skin and are reddish from blood,caribou qui vient tout juste de perdre la peau de ses bois qui sont rouges de sang,,,,,,.
aurui,,,v,i,,,,,,,to bleed menstrually,saigner menstruellement,,southbaffin,auk,,,.
aviktaq,,,n,,,,,,,,month of December,mois de décembre,,,avik,,,.
aviktuittut,,,n,,,,,,,,set of matching garments; suit,ensemble de vêtements agencés; habit,,,avik,,,.
avinngalaq,,,n,,,,,,,,lemming-skin,peau de lemming,,,avinngaq,,,.
avunit,,,n,,,,,,,,month of March,mois de mars,,,avu,,,.
avviarutaq,,,n,,,,,,,,obstruction,obstruction,,,avviaq,,,.
avvik,,,n,,,,,,,,platform for scraping wet skins,plateforme pour gratter les peaux humides,,,,,,.
ibjuut,,1,n,,,,,,,,skin-drum tightener; prying instrument,tendeur (instrument),,,,,,.
ibvuartuq,,1,v,i,,,,,,,to grasp for breath,"chercher son souffle (comme quand on est contre de forts vents, etc.)",,,,,,.
igaliq,,1,n,,,,,,,,stove-pipe,tuyau de poêle,,Padl,iga,n,1,.
iglirnaq,,,n,,,,,,,,cliff ledge,saillie d'une montagne,,,igliq,,,.
iglit,,,n,,,,,,,,top edge of sleeping bench,bord supérieur d'un banc pour dormir,,,igliq,,,.
igluli,,,v,i,,,,,,,build a snowhouse,construire un igloo,,,,,,.
igluliriji,,,n,,,,,,,,housing officer,responsable du logement,,,,,,.
iglutaq,,,n,,,,,,,,bedroom,chambre à coucher,,,iglu,,,.
iigaq,,,n,,,,,,,,pill,pilule,,,,,,.
ijaruvak,,,n,,,,,,,,eye-ball,globe oculaire,,,iji,,,.
ijiikkiumi,,,v,i,,,,,,,to look at someone with hate or malice,regarder quelqu'un avec haine ou malice,,,iji,,,.
ijilirvik,,,n,,,,,,,,eye socket,orbite de l'oeil,,,iji,,,.
ijingmik,,,v,i,,,,,,,to signal someone with one's eyes,faire un signal à quelqu'un avec ses yeux,,,iji,,,.
ijiraq,,,n,,,,,,,,hiding land spirit in folklore,"dans le folklore, esprit de la terre qui se cache",,,ijiq,,,.
ijjarut,,,n,,,,,,,,muzzle,muselière,,,ijjaq,,,.
ijji,,,n,,,,,,,,foreing body in the eye,corps étranger dans l'oeil,,,iji,,,.
ijjit,,,v,i,,,,,,,to have something in the eye,avoir quelque chose dans l'oeil,,,iji,,,.
ijjuqqaq,,,n,,,,,,,,hardened or coagulated liquid,liquide durci ou coagulé,,,ijjuq,,,.
ijjurnait,,,v,i,,,,,,,to be a saint,être un saint,,,,,,.
ijjuut,,,n,,,,,,,,skin-drum tightener; prying instrument,tenseur de peau de tambour; instrument pour ouvrir,,,,,,.
ik&irvik,,,n,,,,,,,,tool chest,coffre à outils,,wchb,,,,.
ikaaqqaq,,,n,,,,,,,,(1) crossing (2) hour (by the clock),(1) traverse (2) heure d'horloge,,,ikaaq,,,.
ikaarut,,,n,,,,,,,,"bridge; pedestrian lane of street, etc.",pont; voie pour piétons d'une rue,,,ikaaq,,,.
ikajuut,,,n,,,,,,,,head strap for carrying heavy weights,lanière de tête pour porter des charges lourdes,,,ikajuq,,,.
ikaut,,,n,,,,,,,,"bridge; pedestrian lane of street, etc.",pont; voie pour piétons d'une rue,,,ikaaq,,,.
ikiarpavvik,,,n,,,,,,,,month of February,mois de février,,,ikiaq,,,.
ikittartuq,,,n,,,,,,,,flashlight,torche électrique,,,ikit,,,.
ikittaq,,,v,i,,,,,,,to flash on an off,clignoter,,,,,,.
ikkaqquq,,,n,,,,,,,,reef; shoal; shallow,"récif, écueil; bas-fond; haut-fonds",,,ikkat,,,.
ikkarit,,,v,i,,,,,,,to be stuck or grounded on a reef or shallow,être coincé ou immobilisé sur un récif ou les hauts-fonds,,,ikkat,,,.
ikkarsaut,,,n,,,,,,,,methyl hydrate; priming fluid,alcool méthylique; liquide inflammable pour amorcer un feu,,,,,,.
ikpiarjuk,,1,v,t,,,,,,si/1vv,to /put s.t. in a bag,/mettre qqch. dans un sac,,,,,,.
ikpiarjuk,,1,n,,,,,,,,bag; pouch; pocket; block or push-in magazine for rifle,sac; poche; pochette; étui à munitions; magasin d'une carabine,,,,,,.
ikpiugaq,,,n,,,,,,,,sharp drop in land or terrain,baisse abrupte de terrain,,,ikpik,,,.
iksarvik,,,n,,,,,,,,loading dock; wharf,quai de chargement; embarcadère,,wchb,,,,.
iksiarjuaq,,,n,,,,,,,,Roman Catholic priest,prêtre catholique romain,,wchb,iksiq,,,.
iksiqqaq,,,n,,,,,,,,letter; writing,lettre; qqch. écrit,,padl,iksiq,,,.
iksiraut,,,n,,,,,,,,pen; pencil; writing implement,plume; crayon; instrument pour écrire,,padl,iksiq,,,.
iksirvik,,,n,,,,,,,,box,boîte,,northbaffin,iksiq,,,.
ikuluk,,1,v,i,,,,,,,"to make sound, speaking of running or dancing feet or hoof beats","faire du bruit, en parlant de pas de course, de danse, de galop",,,,,,.
ikumaaluk,,,n,,,,,,,,hell,enfer,,,ikuma,n,1,.
ikumajaq,,,n,,,,,,,,candle,chandelle,,,ikuma,n,1,.
ikumak,,,v,i,,,,,,,to tend the flame or the wick on the lamp,entretenir la flamme ou la mèche d'une lampe,,,ikuma,n,1,.
ikumalik,,,n,,,,,,,,motor-boat,bateau à moteur,,,ikuma,n,1,.
ikumirvik,,,n,,,,,,,,place to set engine,endroit où placer le moteur,,,,,,.
ikusik,,,n,,,,,,,,elbow,coude,,,ikut,,,.
ikuutaq,,,n,,,,,,,,drill,perceuse,,,,,,.
ikuutaq,,,v,t,,,,,,si/1vv,[-R]to /drill or /bore holes in s.t.,[-R]/percer qqch. d'un trou,,,,,,.
ikuvit,,,v,i,,,,,,,to lean on something with elbow or arm,s'appuyer sur qqch. avec le coude ou le bras,,,ikut,,,.
ilaanni,,,a,,,,,,,,sometimes,quelquefois,,,,,,.
ilaannikkut,,,a,,,,,,,,from time to time,de temps en temps,,,ilaanni,,,.
ilakku,,,n,,,,,,,,"part, portion","partie, portion",,,ila,,,.
ilaksaut,,,n,,,,,,,,(1) baking powder (2) lubricating oil,(1) poudre à pâte (2) huile lubrifiante,,,,,,.
ilanniq,,,n,,,,,,,,patch on shoulder-blade of atigi,pièce sur l'épaule de l'atigi,,northbaffin,,,,.
ilaut,,,n,,,,,,,,ice scoop,cuillère à glace,,,ilaaq,,2,.
iliarjuk,,1,n,,,,,,,,orphan,orphelin,,,,,,.
iliijaq,,1,n,,,,,,,,tortured or maimed person,personne torturée ou estropiée,,,,,,.
iliijaqsuq,,1,v,i,,,,,,,to torture or maim someone with intent,torturer ou estropier qqn intentionnellement,,,iliijaq,n,1,.
ilijaq,,,n,,,,,,,,meat cache,cache de viande,,,ili,,,.
ilingniq,,,n,,,,,,,,patch on shoulder-blade of atigi,pièce sur l'épaule de l'atigi,,wchb,,,,.
ilinniaq,,,v,i,,,,,,,to learn; to study; to go to school,apprendre; étudier; aller à l'école,,,ilit,,,.
ilinniaqtit,,,v,t,,,,,,,to make oneself learn,faire que l'on apprend,,,ilinniaq,,,.
ilinniariaq,,,n,,,,,,,,student; school-child,étudiant; écolier,,,ilinniaq,,,.
ilinniarut,,,n,,,,,,,,school-book; school-text,livre d'école,,,ilinniaq,,,.
ilinniarvik,,,n,,,,,,,,school,école,,,ilinniaq,,,.
ilinniut,,,n,,,,,,,,school-book; school-text,livre d'école,,,ilinniaq,,,.
iliqqusiq,,,n,,,,,,,,"custom, manner, habit","coutume, manière, habitude",,wchb northbaffin,,,,.
ilirnikku,,,n,,,,,,,,remnant; scrap; left-over,reste; vestige; restant,,,,,,.
ilisaiji,,,n,,,,,,,,teacher,"professeur, enseignant",ilit/1v+saq/1vv+i/1vv+ji/1vn,,ilit,,,.
ilisaq,,,v,i,,,,,,,"to learn, study, go to school",apprendre; étudier; aller à l'école,,,ilit,,,.
ilisima,,,v,i,,,,,,,"to have been educated, to be learned in something","être éduqué, être connaissant dans un domaine",,,ilit,,,.
illaigut,illaigutik,,n,,,,,,,,comb,peigne,,,illa,n,,.
illaulik,,,n,,zoo,,,,,,pregnant cow,vache enceinte,,,illaut,,,.
illuarjuk,,,n,,,,,,,,cousin (general),cousin (général),,southbaffin,,,,.
iluma,,1,v,i,a,,,,,,to be frosted up from condensation,être givré par la condensation,,,ilu,n,2,.
ilupaq,,,n,,,,,,,,inner or under garment,vêtement intérieur ou sous-vêtement,,,ilu,,1,.
ilupiruk,,,n,,,,,,,,under garment,sous-vêtement,,,ilu,,1,.
ilusima,,1,v,i,a,,,,,,to be frosted up from condensation,être givré par la condensation,,,ilu,n,2,.
ilusiq,,,n,,,,,,,,"custom, manner, habit","coutume, manière, habitude",,,,,,.
ilut,,,n,,,,,,,,inside layer of fat in caribou intestines,couche interne de gras dans l'intestin du caribou,,,ilu,,1,.
ilutak,,,n,,,,,,,,groin; inside of the leg,aine; intérieur de la jambe,,,ilu,,1,.
ilutakkut,,,a,,,,,,,,to the left side of an object,à gauche d'un objet,,,ilu,,1,.
ilutakkut,,,v,i,,,,,,,to be missed by being shot to the left,être raté à cause d'un tir trop à gauche,,,ilu,,1,.
iluviq,,,n,,,,,,,,grave,tombe,,,ilu,,1,.
iluviq,,,v,i,,,,,,,to be buried,se faire enterrer,,,ilu,,1,.
iluvirvik,,,n,,,,,,,,graveyard,cimetière,,,iluviq,n,,.
imaaq,,,v,i,,,,,,,to be pushed or knocked into the water,être poussé dans l'eau,,,imaq,n,1,.
imaaq,,,v,i,,,,,,,to fall in the water or get wet,tomber à l'eau; se faire mouiller,,,imaq,n,1,.
imaaqsuuq,,,n,,,,,,,,swamp; marsh,marécage; marais,,,imaq,n,1,.
imaijaut,,,n,,,,,,,,pump,pompe,,,imaq,n,1,.
imaqarvik,,,n,,,,,,,,place to keep water,endroit où garder de l'eau,,,imaq,n,1,.
imataarvik,,,n,,,,,,,,well; water-hole,puit; trou d'eau,,,imaq,n,1,.
imauniq,,,n,,,,,,,,passage of water between ice fields,passage d'eau entre des plaques de glace,,,imaq,n,1,.
imaut,,,n,,,,,,,,water glass; goblet,verre à boire; gobelet,,,imaq,n,1,.
imavissiuq,,,v,i,,,,,,,"to travel through, on the sea",traverser la mer,,,imaq,n,1,.
imialuk,,,n,,,,,,,,whisky; hard liquor,whisky; liqueur alcoolisée,,,imiq,,,.
imingnailaq,,,n,,,,,,,,cloudy dull weather,temps gris nuageux,,,imingnak,,,.
imiqqutailaq,,,n,,zoo,,,,,,tern,hirondelle de mer,,,imiq,,,.
imiqutak,,,n,,,,,,,,groin; inside of leg,aine; intérieur de la jambe,,natt,,,,.
immakallak,,,a,,,,,,,,in ancient times,dans les temps anciens,,,imma,,,.
immualuk,,,n,,,,,,,,cheese,fromage,,,immuk,,,.
immuksaut,,,n,,,,,,,,powdered milk,lait en poudre,,,immuk,,,.
immuujaartuq,,,n,,,,,,,,butter,beurre,,wchb,immuk,,,.
imrngilaaq,irngilaaq,1,v,i,,,,,,,"to growl, speaking of a polar bear","grogner, en parlant de l'ours polaire",,,,,,.
imujaksaq,,,n,,,,,,,,fine-cut cigarette tobacco,tabac à cigarette finement coupé,,wchb,imu,,,.
imulluq,,,n,,,,,,,,wrinkle; crease,pli,,,imu,,,.
imunganiq,,,n,,,,,,,,crease; fold,pli,,,imu,,,.
