morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,intransSuffix,transSuffix,antipassive,engMean,freMean,combination,dialect,root,rootType,rootNb,END
majuqqaq,,1,n,,,,,,,,ascent; rise; s.t. requiring a climb,montée; ascension; qqch. qui requiert de monter,,,majuq,v,1,.
makpataq,,1,n,,,,,,,,snow-block cut from surface,bloc de neige coupé à la surface du sol,,,makpat,v,1,.
maligaliurvik,,1,n,,,,,,,,legislative assembly,assemblée législative,malik/1v+gaq/1vn+liuq/1nv+vik/3vn,,malik,v,1,.
maligaq,,1,n,,,,,,,,bill,loi; règlement,,,,,,.
naalagaq,,,n,,,,,,,,boss; authority,patron; authorité,,,,,,.
naassingujaaq,,1,n,,,,,,,,Sunday,dimanche,,N. Baffin,,,,.
nagajjauq,,1,n,,,,,,,,Monday,lundi,,N. Baffin,,,,.
nakit,,,a,,abl,,,,,,whence; from what place,d'où,,,,,,.
nalunak,,,v,i,a,,,,,,"to be unclear, confusing","ne pas être clair, porter à confusion",,,nalu,,,.
nalunaq,,,n,,,,,,,,confusion,confusion,,,nalu,,,.
namut,,,a,,dat,,,,,,whither; to what place,vers où,,,,,,.
nani,,,a,,loc,,,,,,where; in what place,où; à quel endroit,,,,,,.
naukkut,,,a,,via,,,,,,through what place,à travers où,,,,,,.
nauktaima,,,a,,,,,,,,where is,où est,,,,,,.
nimiriaq,,,n,,,,,,,,snake,serpent,,,,,,.
niruaqtaujumajuq,,,n,,,,,,,,candidate,candidat,,,,,,.
nuliaq,,,n,,,,,,,,wife,épouse,,,,,,.
nunaqaq,,,v,i,,,,,,,live in,demeurer à,,,,,,.
pinasuarusiq,,,n,,,,,,,,week,semaine,,,,,,.
pingasut,,1,n,,nb,,,,,,three; number three,trois,pingasu/1n+t/?,,,,,.
piqati,,,n,,,,,,,,partner,partenaire,,,,,,.
piqusiq,,1,n,,,,,,,,"custom, manner, habit","coutume, manière, habitude",,wchb northbaffin,,,,.
qangatasuuq,,,n,,,,,,,,plane,avion,,,,,,.
qaplunaaq,,,n,,,,,,,,"stranger, not inuk","étranger, pas inuk",,,qablu,n,1,.
qaujima,,,v,i,,,,,nil,,know,savoir,qauji/1v+ma/1vv,,,,,.
qaukpat,,,a,,,,,,,,tomorrow,demain,,,qauk,v,1,.
qautamaat,,,a,,,,,,,,every day; daily,chaque jour; quotidiennement,,,qau,n,1,.
qimirruaq,,1,n,,,,,,,,magazine; book; newspaper,magazine; livre; journal,,,qimirru,v,1,.
qujannamiik,,1,a,,,,,,,,thank you!,merci!,quja/1v+naq/1vv+miik/1vn,,quja,v,1,.
qukiuti,,,n,,,,,,,,gun,fusil,,,,,,.
singnaktuuma,,,v,i,,,,,,,dream,rêver,,,,,,.
sivuliqti,,1,n,,,,,,,,Premier,premier ministre,sivu/1n+liq/3nv+ji/1vn,,,,,.
sivuliuqti,,1,n,,,,,,,,Premier,premier ministre,sivu/1n+liq/3nv+uq/3vv+ji/1vn,,,,,.
sukkajukkut,,,n,,,,,,,,fax,télécopie,,,,,,.
summat,,1,v,i,,,,,,,why,pourquoi,,,su,,,.
taliaq,,,n,,,,,,,,wrist-watch; bracelet,montre-bracelet; bracelet,,,taliq,,,.
tallimat,,1,n,,nb,p,,,,,five; number five [WCHB; Natt.; N. Baffin],cinq,tallima/1n+t/?,,,,,.
timiquti,,,n,,,,,,,,organization,organisme,,,timi,n,1,.
timiujuq,,1,n,,,,,,,,department,département,,,timi,n,1,.
titiraq,,,v,i,,,,,,,write,écrire,,,,,,.
titirarvigi,,,v,t,,,,,,,write to,écrire à,,,,,,.
titirarvik,,,n,,,,,,,,desk,bureau,,,,,,.
tukisi,,,v,i,,,,,nil,,to understand (trans.: s.t.),comprendre (trans.: qqch.),tuki/1n+si/4nv,,,,,.
tuksiaq,,1,v,i,,,,,nil,,"to pray, ask, beg, plead for s.t.","demander, quémander quelque chose, prier, mendier",tuksiq/1v+?,,,,,.
tuksiarvik,,,n,,,,,,,,church,église,tuksiaq/1v+vik/3vn,,,,,.
tusauma,,,v,i,,,,,,,to have heard of,avoir entendu à propos de,,,,,,.
uiviititut,,1,n,,,,,,,,the French language,la langue française,uivii/1n+titut/tn-sim-p,,,,,.
ullumi,,,a,,,,,,,,today,aujourd'hui,,,ubluq,n,1,.
unnuksaq,,1,n,,,,,,,,afternoon,après-midi,unnuk/1n+ksaq/1nn,,,,,.
uqaalaut,,,n,,,,,,,,telephone,téléphone,,,,,,.
uqalimaaq,,,v,i,,,,,,,to read,lire,,,,,,.
uqallak,,,v,i,,,,,,,to talk,parler (à quelqu'un),,,,,,.
uqalugvigi,,,v,t,,,,,,,to speak on the phone with,parler au téléphone avec,,,,,,.
uqaluk,,,v,i,,,,,,,to phone,téléphoner,,,,,,.
uqauti,,,v,i,,,,,,,to tell (someone),dire (à quelqu'un),,,,,,.
uumajuliriji,,,n,,,,,,,,wildlife officer,officier de la faune,,,,,,.
uumajuq,,,n,,,,,,,,animal,animal,uuma/1v+juq/1vn,,,,,.
uvinngiaraq,,,v,i,,,,,,,whistle,siffler,,,,,,.
uvvalu,,1,c,,,,,,,,or,ou,,,,,,.
uvvaluunniit,,1,c,,,,,,,,or else,ou bien,,,,,,.
